tf,cond,seed,metric,delta,n,partition
ets1,frozen,1,pearsonr,-0.043794321229088114,14,same-family
ets1,frozen,1,mae,0.06414740426199776,14,same-family
ets1,frozen,2,spearmanr,0.09959778001503262,14,same-family
ets1,frozen,2,pearsonr,0.06614300636755228,14,same-family
ets1,frozen,2,mae,-0.08113255671092443,14,same-family
ets1,frozen,3,spearmanr,0.09022784232214055,14,same-family
ets1,frozen,3,pearsonr,0.1612091457604803,14,same-family
ets1,frozen,3,mae,-0.12038342016083854,14,same-family
ets1,frozen,4,spearmanr,0.04325625535658014,14,same-family
ets1,frozen,4,pearsonr,0.014428665568751359,14,same-family
ets1,frozen,4,mae,-0.035724216273852756,14,same-family
ets1,frozen,5,spearmanr,-0.004366377992945992,14,same-family
ets1,frozen,5,pearsonr,0.04426536364170612,14,same-family
ets1,frozen,5,mae,-0.05126595071383885,14,same-family
ets1,relaxed,1,spearmanr,0.035691295680247134,14,same-family
ets1,relaxed,1,pearsonr,0.1335905782258311,14,same-family
ets1,relaxed,1,mae,-0.16580278319971903,14,same-family
ets1,relaxed,2,spearmanr,0.02260772218243425,14,same-family
ets1,relaxed,2,pearsonr,0.01604855569053648,14,same-family
ets1,relaxed,2,mae,0.015507787466049194,14,same-family
ets1,relaxed,3,spearmanr,0.036977999036138194,14,same-family
ets1,relaxed,3,pearsonr,0.11897054729833187,14,same-family
ets1,relaxed,3,mae,-0.16785227400915964,14,same-family
ets1,relaxed,4,spearmanr,0.05916353166202502,14,same-family
ets1,relaxed,4,pearsonr,0.06609591686454995,14,same-family
ets1,relaxed,4,mae,-0.07275435541357313,14,same-family
ets1,relaxed,5,spearmanr,0.08541685000662842,14,same-family
ets1,relaxed,5,pearsonr,0.15132693041180098,14,same-family
ets1,relaxed,5,mae,-0.17228519916534424,14,same-family
foxa,frozen,1,spearmanr,-0.01714285714285717,5,same-family
foxa,frozen,1,pearsonr,-0.03426546644636619,5,same-family
foxa,frozen,1,mae,0.1708955466747284,5,same-family
foxa,frozen,2,spearmanr,-0.10857142857142861,5,same-family
foxa,frozen,2,pearsonr,-0.14070228332618467,5,same-family
foxa,frozen,2,mae,0.19543257355690002,5,same-family
foxa,frozen,3,spearmanr,0.07428571428571426,5,same-family
foxa,frozen,3,pearsonr,0.06844057319043524,5,same-family
foxa,frozen,3,mae,0.05471387505531311,5,same-family
foxa,frozen,4,spearmanr,0.19142857142857142,5,same-family
foxa,frozen,4,pearsonr,0.02424822508865245,5,same-family
foxa,frozen,4,mae,-0.05104466676712036,5,same-family
foxa,frozen,5,spearmanr,-0.025714285714285745,5,same-family
foxa,frozen,5,pearsonr,-0.038176817789313436,5,same-family
foxa,frozen,5,mae,0.06659615635871888,5,same-family
foxa,relaxed,1,spearmanr,-0.042857142857142816,5,same-family
foxa,relaxed,1,pearsonr,0.007061150741329514,5,same-family
foxa,relaxed,1,mae,0.05137383341789246,5,same-family
foxa,relaxed,2,spearmanr,0.11428571428571424,5,same-family
foxa,relaxed,2,pearsonr,-0.006306789332649054,5,same-family
foxa,relaxed,2,mae,-0.057991302013397215,5,same-family
foxa,relaxed,3,spearmanr,-0.13714285714285715,5,same-family
foxa,relaxed,3,pearsonr,0.03635848827559309,5,same-family
foxa,relaxed,3,mae,0.06446844339370728,5,same-family
foxa,relaxed,4,spearmanr,0.03714285714285713,5,same-family
foxa,relaxed,4,pearsonr,0.16385495259224428,5,same-family
foxa,relaxed,4,mae,-0.17014363408088684,5,same-family
foxa,relaxed,5,spearmanr,-0.0971428571428572,5,same-family
foxa,relaxed,5,pearsonr,-0.05049041810261452,5,same-family
foxa,relaxed,5,mae,0.056884825229644775,5,same-family
