cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,015,1.7127,32.3,34.27,1.96,7.362
relaxed,016,1.3662,32.3,35.16,2.85,7.225
relaxed,017,1.3178,32.31,30.17,-2.14,7.269
relaxed,018,1.6166,32.3,29.62,-2.68,7.544
relaxed,019,1.8193,32.3,34.07,1.77,7.407
relaxed,020,1.0648,32.3,35.33,3.03,7.189
relaxed,021,1.5745,32.3,34.15,1.85,7.404
relaxed,022,1.2573,32.3,28.3,-4.0,7.238
relaxed,023,1.3715,32.31,31.81,-0.5,7.494
relaxed,024,1.4152,32.3,34.61,2.31,7.399
relaxed,025,1.473,32.3,32.09,-0.21,8.016
relaxed,026,1.2603,32.3,38.17,5.87,7.323
relaxed,027,1.4597,32.3,33.08,0.78,7.717
relaxed,028,1.4171,32.3,36.76,4.45,7.463
relaxed,029,1.304,32.3,36.37,4.06,7.86
relaxed,030,1.428,32.31,35.73,3.42,7.431
relaxed,031,1.6852,32.3,33.34,1.04,7.309
relaxed,032,1.4622,32.3,30.29,-2.01,7.659
relaxed,033,1.2683,32.3,38.37,6.06,7.3
relaxed,034,1.1957,32.31,34.25,1.94,7.466
relaxed,035,1.6269,32.3,38.36,6.06,7.435
relaxed,036,1.579,32.3,31.33,-0.97,7.589
relaxed,037,1.4384,32.3,36.99,4.69,7.405
relaxed,038,1.2596,32.3,32.49,0.19,7.378
relaxed,039,1.3619,32.3,39.44,7.14,7.801
relaxed,040,1.4356,32.3,37.79,5.49,7.351
relaxed,041,1.7368,32.3,37.68,5.37,8.154
relaxed,042,1.4326,32.3,30.16,-2.14,7.713
relaxed,043,1.4051,32.3,31.81,-0.49,7.322
relaxed,044,2.0442,32.31,39.99,7.69,7.55
relaxed,045,1.9745,32.3,32.91,0.61,7.32
relaxed,046,1.4949,32.3,26.99,-5.31,7.645
relaxed,047,1.5434,32.3,32.42,0.12,7.424
relaxed,048,1.2378,32.3,32.65,0.35,7.174
relaxed,049,1.4666,32.31,29.06,-3.24,7.37
relaxed,050,1.7867,32.3,33.95,1.65,7.986
relaxed,051,1.2959,32.3,30.14,-2.16,7.91
relaxed,052,1.2973,32.3,31.83,-0.47,7.261
relaxed,053,1.3914,32.3,33.77,1.47,7.614
relaxed,054,1.7673,32.3,39.14,6.84,8.051
relaxed,055,1.496,32.3,31.88,-0.42,7.557
relaxed,056,1.1826,32.3,31.16,-1.14,7.321
relaxed,057,1.1819,32.3,35.81,3.51,7.299
relaxed,058,1.2856,32.31,33.9,1.59,7.152
relaxed,059,1.3096,32.3,35.96,3.65,7.248
relaxed,060,1.3964,32.3,28.13,-4.18,8.377
relaxed,061,1.1253,32.3,33.53,1.23,8.056
relaxed,062,1.2805,32.3,36.31,4.0,7.296
relaxed,063,1.3879,32.3,36.43,4.13,7.197
relaxed,064,1.4358,32.3,33.31,1.01,7.316
relaxed,065,1.2856,32.3,28.47,-3.84,7.433
relaxed,066,1.3702,32.3,35.71,3.4,7.551
relaxed,067,1.2054,32.3,32.78,0.48,7.247
relaxed,068,1.7479,32.3,34.83,2.52,7.585
relaxed,069,1.3902,32.3,31.07,-1.23,7.273
relaxed,070,1.6725,32.3,34.84,2.54,7.818
relaxed,071,1.5812,32.3,35.24,2.94,7.471
relaxed,072,1.4437,32.3,32.34,0.03,7.517
relaxed,074,1.3661,32.3,35.22,2.91,7.887
relaxed,076,1.2322,32.3,33.29,0.99,7.587
relaxed,077,0.9117,32.3,31.76,-0.54,7.213
relaxed,078,1.3189,32.3,36.85,4.54,7.228
relaxed,080,1.4901,32.3,35.18,2.88,7.427
relaxed,081,1.3312,32.3,33.68,1.37,7.517
relaxed,082,1.2883,32.31,32.03,-0.27,7.927
relaxed,085,1.8236,32.3,26.77,-5.54,7.926
relaxed,086,1.9016,32.3,35.32,3.02,7.82
relaxed,087,1.4154,32.31,38.43,6.13,7.451
relaxed,088,1.4585,32.31,27.85,-4.46,7.734
