cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,005,0.5665,15.64,16.31,0.66,7.673
relaxed,006,1.0163,15.64,16.85,1.2,7.66
relaxed,007,1.2206,15.64,17.31,1.66,7.965
relaxed,008,0.5046,15.65,16.45,0.8,7.659
relaxed,009,1.1279,15.64,15.97,0.32,7.685
relaxed,010,1.0514,15.64,16.62,0.98,8.935
relaxed,011,0.5012,15.64,16.05,0.4,7.654
relaxed,012,0.6674,15.64,16.23,0.59,7.658
relaxed,013,0.6291,15.64,16.8,1.15,7.656
relaxed,014,0.7631,15.64,17.64,2.0,7.675
relaxed,015,0.8041,15.64,16.5,0.85,7.736
relaxed,016,0.9753,15.64,17.95,2.31,7.687
relaxed,017,1.2599,15.64,14.15,-1.49,7.644
relaxed,018,0.5684,15.65,15.12,-0.52,7.622
relaxed,019,0.8976,15.64,16.32,0.67,7.656
relaxed,020,0.6638,15.64,15.74,0.1,7.684
relaxed,021,1.0369,15.65,15.8,0.16,7.737
relaxed,022,1.2343,15.64,16.23,0.58,7.68
relaxed,023,0.565,15.65,15.42,-0.22,7.644
relaxed,024,0.7154,15.64,16.35,0.71,7.702
relaxed,025,0.8717,15.64,19.37,3.73,7.665
relaxed,026,0.5936,15.64,15.74,0.09,7.662
relaxed,027,1.2524,15.64,18.04,2.39,7.712
relaxed,028,0.7758,15.64,15.9,0.25,7.521
relaxed,029,0.5758,15.64,15.79,0.15,7.697
relaxed,030,0.7291,15.65,16.04,0.39,7.669
relaxed,031,0.9415,15.64,17.65,2.0,7.69
relaxed,032,1.02,15.65,19.69,4.05,7.681
relaxed,033,0.8792,15.64,17.49,1.84,7.615
relaxed,034,0.5773,15.64,16.52,0.88,7.626
relaxed,035,0.8879,15.64,19.05,3.41,7.689
relaxed,036,0.7224,15.64,15.64,-0.0,7.655
relaxed,037,0.614,15.64,16.71,1.07,7.64
relaxed,038,0.7719,15.64,18.6,2.95,7.816
relaxed,039,0.6011,15.64,16.0,0.36,7.57
relaxed,040,0.6773,15.64,17.24,1.6,7.676
relaxed,041,0.823,15.64,17.54,1.89,7.696
relaxed,042,0.8976,15.64,18.32,2.68,7.663
relaxed,043,0.6791,15.64,16.94,1.29,7.636
relaxed,044,0.8444,15.64,16.38,0.74,7.712
relaxed,045,1.0111,15.65,15.74,0.09,7.653
relaxed,046,1.0336,15.64,18.18,2.53,7.649
relaxed,047,0.7115,15.64,15.56,-0.09,7.657
relaxed,048,0.824,15.64,16.71,1.07,7.749
relaxed,049,0.6841,15.64,16.0,0.36,7.658
relaxed,050,1.2714,15.64,18.57,2.93,7.906
relaxed,051,0.6134,15.64,16.47,0.82,7.686
relaxed,052,0.7534,15.64,18.49,2.85,7.688
relaxed,053,0.8482,15.64,14.75,-0.9,7.671
relaxed,054,1.0662,15.64,16.37,0.73,8.238
relaxed,055,0.6263,15.64,15.53,-0.12,7.656
relaxed,056,0.55,15.64,15.81,0.16,7.648
relaxed,057,0.7912,15.64,17.24,1.59,7.7
relaxed,058,0.6813,15.64,16.5,0.85,7.677
relaxed,059,0.8368,15.64,16.97,1.32,7.69
relaxed,060,0.56,15.64,15.26,-0.38,7.703
relaxed,061,1.018,15.64,20.23,4.59,7.687
relaxed,062,0.7452,15.64,17.85,2.2,7.715
relaxed,063,0.9836,15.64,15.52,-0.13,7.755
relaxed,064,0.4701,15.64,16.08,0.44,7.652
relaxed,065,0.8176,15.64,15.77,0.13,7.564
relaxed,066,0.7165,15.64,15.67,0.02,7.649
relaxed,067,1.0428,15.64,17.32,1.68,7.948
relaxed,068,0.6605,15.64,16.02,0.37,7.746
relaxed,070,1.6024,15.64,21.46,5.81,7.74
relaxed,071,0.6713,15.64,17.0,1.36,7.662
relaxed,072,0.9778,15.64,16.0,0.36,7.648
relaxed,073,0.8434,15.64,16.48,0.84,7.899
relaxed,074,0.5968,15.64,16.02,0.38,7.669
relaxed,075,0.9439,15.65,18.37,2.73,7.625
relaxed,076,1.1696,15.64,20.95,5.3,7.676
relaxed,077,1.3547,15.64,15.25,-0.4,7.75
relaxed,078,1.4001,15.64,13.45,-2.19,7.847
relaxed,079,0.755,15.65,17.06,1.41,7.665
relaxed,080,0.6766,15.64,15.78,0.13,7.657
relaxed,081,1.1063,15.64,17.75,2.1,7.759
relaxed,082,0.7666,15.64,17.12,1.48,7.675
relaxed,083,0.8924,15.65,16.45,0.81,7.696
relaxed,084,0.766,15.64,17.02,1.38,7.647
relaxed,085,0.5294,15.64,15.58,-0.06,7.712
relaxed,086,0.9223,15.65,17.11,1.46,7.716
relaxed,087,1.6838,15.64,19.8,4.15,7.894
relaxed,088,0.7625,15.64,16.5,0.85,7.671
relaxed,089,0.7662,15.64,15.96,0.32,7.566
relaxed,090,0.8598,15.64,18.19,2.55,7.654
relaxed,091,0.95,15.65,16.54,0.9,7.691
relaxed,092,1.7969,15.64,18.13,2.48,8.166
relaxed,093,0.7053,15.64,15.94,0.29,7.7
relaxed,094,0.6379,15.64,16.05,0.4,7.656
relaxed,095,0.7961,15.65,17.94,2.29,7.666
relaxed,096,1.0744,15.64,16.7,1.06,7.672
relaxed,097,0.7596,15.64,17.73,2.09,7.693
