tf,cond,seed,metric,delta,n,family
lef1,frozen,5,spearmanr,0.05012282762556842,130,induced-fit (test)
lef1,frozen,5,auroc,0.017784256406374592,130,induced-fit (test)
lef1,frozen,5,ic_weighted_pcc,0.03281222522487159,130,induced-fit (test)
lef1,frozen,5,ic_corr,0.05729018748105291,130,induced-fit (test)
lef1,frozen,5,mae,-0.05718258860019537,130,induced-fit (test)
lef1,relaxed,1,pearsonr,-0.02170976620991462,130,induced-fit (test)
lef1,relaxed,1,spearmanr,-0.03324434959875179,130,induced-fit (test)
lef1,relaxed,1,auroc,0.0007382781246955572,130,induced-fit (test)
lef1,relaxed,1,ic_weighted_pcc,-0.023979570346624225,130,induced-fit (test)
lef1,relaxed,1,ic_corr,9.619535215100077e-05,130,induced-fit (test)
lef1,relaxed,1,mae,0.03088891597894522,130,induced-fit (test)
lef1,relaxed,2,pearsonr,-0.018289232368009556,130,induced-fit (test)
lef1,relaxed,2,spearmanr,0.00644244805870092,130,induced-fit (test)
lef1,relaxed,2,auroc,0.00027079983232198933,130,induced-fit (test)
lef1,relaxed,2,ic_weighted_pcc,-0.01754283161463625,130,induced-fit (test)
lef1,relaxed,2,ic_corr,0.02007136931739043,130,induced-fit (test)
lef1,relaxed,2,mae,0.015491543595607464,130,induced-fit (test)
lef1,relaxed,3,pearsonr,0.26844619297500905,130,induced-fit (test)
lef1,relaxed,3,spearmanr,0.1383941132909341,130,induced-fit (test)
lef1,relaxed,3,auroc,0.13567965236878005,130,induced-fit (test)
lef1,relaxed,3,ic_weighted_pcc,0.2227634103026421,130,induced-fit (test)
lef1,relaxed,3,ic_corr,0.31093926503529035,130,induced-fit (test)
lef1,relaxed,3,mae,-0.3215663052522219,130,induced-fit (test)
lef1,relaxed,4,pearsonr,-0.019107997229832224,130,induced-fit (test)
lef1,relaxed,4,spearmanr,-0.013873143525982236,130,induced-fit (test)
lef1,relaxed,4,auroc,0.004415998341000102,130,induced-fit (test)
lef1,relaxed,4,ic_weighted_pcc,-0.013408840113437619,130,induced-fit (test)
lef1,relaxed,4,ic_corr,0.03426525243816828,130,induced-fit (test)
lef1,relaxed,4,mae,0.012931553217080923,130,induced-fit (test)
lef1,relaxed,5,pearsonr,-0.013228347864277673,130,induced-fit (test)
lef1,relaxed,5,spearmanr,-0.024791551325519558,130,induced-fit (test)
lef1,relaxed,5,auroc,-0.013470597440732401,130,induced-fit (test)
