axis,measured_on,dna,n,spearman_rho,boot_ci_lo,boot_ci_hi,frac_same_sign,spearman_p
iface_mgwfl_froz,iface_mgwfl_froz,frozen,10,-0.16363636363636364,-0.7037862703467799,0.6172839506172839,0.6899,0.6514773427962428
iface_mgwfl_froz,iface_mgwfl_relax,relax,10,-0.3696969696969697,-0.9072949566989301,0.425,0.8367,0.2930500752928223
froz_bend_iqr,froz_bend_iqr,frozen,11,-0.5272727272727273,-0.9061032863849764,0.20004807692307625,0.9301,0.09556521835315422
froz_bend_iqr,froz_bend_iqr,relax,11,-0.7636363636363637,-0.9615384615384613,-0.270983105679368,0.9956,0.006233059747904751
cry_bend_uu,cry_bend_uu,frozen,11,0.03636363636363637,-0.6698113207547169,0.7464788732394365,0.5249,0.9154683168905347
cry_bend_uu,cry_bend_uu,relax,11,-0.07272727272727274,-0.799043062200957,0.6492890995260664,0.5783,0.831716405381337
