axis,side,label,predicted_sign,n,spearman_rho,spearman_p,pearson_r,pearson_p,sign_matches_hypothesis,dna
cry_minor_w,DNA,Crystal minor-groove width (A),neg,12,0.4755244755244756,0.11817595701303213,0.3065313433660554,0.33251156731152254,False,frozen
mgwfl_relax,DNA,"MGW fluctuation, relaxed (A)",neg,11,-0.46363636363636374,0.15090149929248603,-0.47468091911812466,0.14012952034814324,True,frozen
iface_mgwfl_froz,DNA,"Interface MGW fluctuation, frozen (A)",neg,11,-0.44545454545454555,0.16973260492681172,-0.28431880987819874,0.39679862562639073,True,frozen
groove_dev,DNA,Crystal minor-groove deviation from B,neg,12,0.39860139860139865,0.19933549461780897,0.22419740543109473,0.4836080288197341,False,frozen
mechanism_score,combined,Mechanism score (selection - induced),pos,12,0.3916083916083916,0.2080634636953532,0.032074920392952615,0.9211738023557706,True,frozen
reach_ratio,protein,Reach ratio,neg,12,-0.3706293706293707,0.2356210035126457,-0.32381033528828973,0.30453074875156394,True,frozen
d_min,protein,Reachability d_min (A),neg,12,-0.3636363636363637,0.2452650007307772,-0.3895260629627378,0.21070660934948052,True,frozen
conf_selection_index,protein,Conformational-selection index,pos,12,0.3636363636363637,0.2452650007307772,0.3895260629627378,0.21070660934948052,True,frozen
mgwfl_froz,DNA,"MGW fluctuation, frozen (A)",neg,11,-0.3181818181818182,0.34029761418190363,-0.34364444188053084,0.3007971279917425,True,frozen
rmsf_mean,protein,Ensemble RMSF (A),neg,12,-0.2797202797202798,0.37856866966230307,-0.11779429418945822,0.7154121248867202,True,frozen
induced_fit_index,DNA,Induced-fit index (measured),neg,12,0.2447552447552448,0.4432619364501832,0.14571079776293624,0.6513739472508763,False,frozen
froz_bend_iqr,DNA,"Ensemble DNA-bend IQR, frozen (deg)",neg,12,-0.22377622377622378,0.48445166145539886,-0.21265260629342014,0.506972213631207,True,frozen
cry_shortening,DNA,Crystal duplex shortening,neg,12,0.18881118881118883,0.5567370561768314,0.1649331979504661,0.6084758110596827,False,frozen
iface_mgwfl_relax,DNA,"Interface MGW fluctuation, relaxed (A)",neg,11,-0.13636363636363638,0.6893090205863619,-0.20785159979550322,0.5396907373030531,True,frozen
cry_bend_uu,DNA,Crystal DNA bend (deg),neg,12,-0.1188811188811189,0.712884219214772,0.04842527694742229,0.8812002454820829,True,frozen
bend_dev,DNA,Crystal bend deviation from B-DNA,neg,12,-0.1188811188811189,0.712884219214772,0.04842527694742229,0.8812002454820829,True,frozen
spread,protein,Free-state ensemble spread (A),neg,12,-0.08391608391608392,0.7954145018538977,-0.07602015930537448,0.814353198671699,True,frozen
mechanism_score,combined,Mechanism score (selection - induced),pos,12,0.4265734265734266,0.16669998762494495,0.12041610127145663,0.7093184365937536,True,relax
cry_shortening,DNA,Crystal duplex shortening,neg,12,-0.31468531468531474,0.31913878550330455,-0.041884811796253196,0.8971648221634725,True,relax
froz_bend_iqr,DNA,"Ensemble DNA-bend IQR, frozen (deg)",neg,12,-0.30069930069930073,0.34225952894002465,-0.09292296507635535,0.7739347582089452,True,relax
mgwfl_froz,DNA,"MGW fluctuation, frozen (A)",neg,11,0.28181818181818186,0.4011448979604785,0.2872296844549443,0.3917688838180796,False,relax
d_min,protein,Reachability d_min (A),neg,12,0.2447552447552448,0.4432619364501832,0.16714841108472506,0.6036010908251743,False,relax
conf_selection_index,protein,Conformational-selection index,pos,12,-0.2447552447552448,0.4432619364501832,-0.1671484110847251,0.6036010908251743,False,relax
spread,protein,Free-state ensemble spread (A),neg,12,0.2377622377622378,0.4568008526399232,0.2364762528623844,0.45931163563504146,False,relax
bend_dev,DNA,Crystal bend deviation from B-DNA,neg,12,-0.2377622377622378,0.4568008526399232,-0.059992238036276735,0.853069035743842,True,relax
cry_bend_uu,DNA,Crystal DNA bend (deg),neg,12,-0.2377622377622378,0.4568008526399232,-0.059992238036276735,0.853069035743842,True,relax
induced_fit_index,DNA,Induced-fit index (measured),neg,12,-0.18181818181818185,0.5717012385276553,-0.19320364752853714,0.5474207864131975,True,relax
groove_dev,DNA,Crystal minor-groove deviation from B,neg,12,-0.18181818181818185,0.5717012385276553,-0.3015145521829167,0.34088774081089407,True,relax
mgwfl_relax,DNA,"MGW fluctuation, relaxed (A)",neg,11,0.17272727272727276,0.6115423848512369,0.15959021355375436,0.6392720481858108,False,relax
cry_minor_w,DNA,Crystal minor-groove width (A),neg,12,-0.16083916083916086,0.6175234895401425,-0.26322481798360325,0.408453753074544,True,relax
rmsf_mean,protein,Ensemble RMSF (A),neg,12,0.11188811188811189,0.729194990751066,0.13510355259533124,0.6754785218717433,False,relax
reach_ratio,protein,Reach ratio,neg,12,0.09090909090909093,0.7787253962454419,0.01670372688675828,0.9589084608092355,False,relax
iface_mgwfl_froz,DNA,"Interface MGW fluctuation, frozen (A)",neg,11,0.09090909090909091,0.7903727377532903,0.20788142425781408,0.5396312457548051,False,relax
iface_mgwfl_relax,DNA,"Interface MGW fluctuation, relaxed (A)",neg,11,0.018181818181818184,0.9576852410216187,0.12200684647693541,0.720820841792441,False,relax
