variant,pilot,point,label,n,clash_q25,clash_med,clash_q75,pe_med,md_med
frozen,runx,2,s0.05,107,28.5,47,82.5,-27500.0,0.55
frozen,runx,3,s0.1,107,27.0,46,82.0,-26400.0,0.69
frozen,runx,4,s0.2,99,26.5,46,76.5,2710.0,0.75
frozen,runx,5,s0.4,98,16.0,26.0,40.75,-45650.0,1.645
frozen,runx,6,s0.7,97,0,0,10,-46800.0,2.62
frozen,runx,7,s1.0,97,0,0,0,-47000.0,2.68
frozen,runx,68,final,1,0,0,0,-47300.0,2.73
frozen,err,0,init,91,106.5,143,178.0,,0.44
frozen,err,1,H-min,91,106.5,143,178.0,,0.44
frozen,err,2,s0.05,102,109.0,145.0,182.5,-17800.0,0.325
frozen,err,3,s0.1,98,111.0,147.0,187.0,-9710.0,0.425
frozen,err,4,s0.2,92,102.75,141.5,177.25,660500.0,0.645
frozen,err,5,s0.4,90,53.0,68.5,100.0,-36350.0,1.67
frozen,err,6,s0.7,90,0.0,10.0,18.0,-35150.0,2.24
frozen,err,7,s1.0,90,0.0,5.0,11.75,-31250.0,2.35
frozen,err,67,final,1,0,0,0,-35800.0,2.51
frozen,nfat,0,init,85,129,154,187,,0.42
frozen,nfat,1,H-min,85,129,154,187,,0.42
frozen,nfat,2,s0.05,94,129.0,154.0,185.75,-5825.0,0.405
frozen,nfat,3,s0.1,91,128.5,152,185.5,92400.0,0.44
frozen,nfat,4,s0.2,87,125.5,149,184.0,1060000.0,0.48
frozen,nfat,5,s0.4,86,53.0,72.0,109.75,-43650.0,1.58
frozen,nfat,6,s0.7,86,0.0,4.0,12.0,-44800.0,2.405
frozen,nfat,7,s1.0,86,0.0,0.0,12.0,-45600.0,2.535
frozen,nfat,55,final,1,20,20,20,-28100.0,2.09
frozen,csl,0,init,84,40.5,55.5,72.25,,0.565
frozen,csl,1,H-min,84,40.5,55.5,72.25,,0.565
frozen,csl,2,s0.05,90,39.5,56.5,72.75,-19950.0,0.59
frozen,csl,3,s0.1,89,39,56,70,-19900.0,0.6
frozen,csl,4,s0.2,87,39.0,55,70.5,-3160.0,0.65
frozen,csl,5,s0.4,84,23.75,34.0,58.5,-70300.0,1.38
frozen,csl,6,s0.7,84,0.0,10.5,26.0,-80400.0,2.275
frozen,csl,7,s1.0,84,0.0,0.0,0.0,-83000.0,2.6
frozen,csl,8,final,32,0.0,0.0,0.0,-83000.0,2.59
frozen,csl,41,final,1,0,0,0,-83600.0,2.59
dnarelax,dux4,0,init,93,405,474,514,,0.3
dnarelax,dux4,1,H-min,93,405,474,514,,0.3
dnarelax,dux4,2,s0.05,96,405.75,471.0,508.75,-14900.0,0.25
dnarelax,dux4,3,s0.1,95,405.0,464,507.0,1330000.0,0.32
dnarelax,dux4,4,s0.2,91,395.5,444,500.5,80600000.0,0.4
dnarelax,dux4,5,s0.4,90,165.25,210.0,251.0,-55550.0,1.6
dnarelax,dux4,6,s0.7,89,10,22,41,-43800.0,2.19
dnarelax,dux4,7,s1.0,89,10,22,35,-45400.0,2.2
dnarelax,dux4,24,final,1,508,508,508,1.4e+19,0.1
dnarelax,egr1,0,init,98,26.25,44.5,59.0,,0.705
dnarelax,egr1,1,H-min,98,26.25,44.5,59.0,,0.705
dnarelax,egr1,2,s0.05,108,30.75,46.0,62.25,-25400.0,0.715
dnarelax,egr1,3,s0.1,105,30,46,61,-24800.0,0.75
dnarelax,egr1,4,s0.2,99,27.0,42,58.0,-20500.0,0.97
dnarelax,egr1,5,s0.4,98,18.25,26.0,38.0,-38500.0,1.55
dnarelax,egr1,6,s0.7,98,0.0,0.0,0.0,-39400.0,2.61
dnarelax,egr1,7,s1.0,96,0.0,0.0,0.0,-39500.0,2.62
dnarelax,egr1,65,final,1,11,11,11,-30600.0,2.14
dnarelax,foxa,0,init,90,48.25,77.5,179.25,,0.54
dnarelax,foxa,1,H-min,90,48.25,77.5,179.25,,0.54
dnarelax,foxa,2,s0.05,100,44.0,77.0,178.0,-12850.0,0.56
dnarelax,foxa,3,s0.1,97,44,76,168,-3660.0,0.59
dnarelax,foxa,4,s0.2,93,47,76,169,20500.0,0.7
dnarelax,foxa,5,s0.4,92,26.0,49.5,102.25,-34000.0,1.55
dnarelax,foxa,6,s0.7,91,0.0,0,13.5,-35900.0,2.55
dnarelax,foxa,7,s1.0,90,0.0,0.0,10.0,-36200.0,2.58
dnarelax,foxa,64,final,1,0,0,0,-37000.0,2.6
dnarelax,engrailed,0,init,95,13.5,25,40.0,,0.76
dnarelax,engrailed,1,H-min,95,13.5,25,40.0,,0.76
dnarelax,engrailed,2,s0.05,103,15.0,27,41.0,-41200.0,0.72
dnarelax,engrailed,3,s0.1,103,15.5,27,40.0,-35500.0,0.75
dnarelax,engrailed,4,s0.2,98,12.0,26.5,39.0,26950.0,0.95
dnarelax,engrailed,5,s0.4,96,10.0,13.5,20.25,-46450.0,1.8
dnarelax,engrailed,6,s0.7,96,0.0,0.0,0.0,-47300.0,2.73
dnarelax,engrailed,7,s1.0,96,0.0,0.0,0.0,-47300.0,2.73
dnarelax,engrailed,56,final,1,0,0,0,-46700.0,2.62
dnarelax,ets1,0,init,96,45.0,49.0,58.0,,0.67
dnarelax,ets1,1,H-min,96,45.0,49.0,58.0,,0.67
dnarelax,ets1,2,s0.05,112,45.0,50.0,58.0,-23850.0,0.595
dnarelax,ets1,3,s0.1,108,44.0,50.0,58.0,-21550.0,0.695
dnarelax,ets1,4,s0.2,101,44,49,58,-5200.0,0.75
dnarelax,ets1,5,s0.4,98,26.0,33.0,44.25,-40950.0,1.55
dnarelax,ets1,6,s0.7,98,0.0,0.0,0.0,-42800.0,2.57
dnarelax,ets1,7,s1.0,98,0.0,0.0,0.0,-43100.0,2.57
dnarelax,ets1,98,final,1,0,0,0,-43000.0,2.59
dnarelax,lef1,0,init,87,136.5,216,288.5,,0.36
dnarelax,lef1,1,H-min,87,136.5,216,288.5,,0.36
dnarelax,lef1,2,s0.05,98,137.0,220.5,280.25,-16900.0,0.28500000000000003
dnarelax,lef1,3,s0.1,96,139.0,214.5,275.0,2140.0,0.44
dnarelax,lef1,4,s0.2,88,139.0,208.0,274.0,319500.0,0.575
dnarelax,lef1,5,s0.4,86,67.0,107.5,177.5,-38000.0,1.565
dnarelax,lef1,6,s0.7,86,0.0,10.0,22.0,-35400.0,2.21
dnarelax,lef1,7,s1.0,85,0,10,20,-35100.0,2.22
dnarelax,lef1,64,final,1,0,0,0,-42400.0,2.64
dnarelax,csl,0,init,85,42,58,74,,0.55
dnarelax,csl,1,H-min,85,42,58,74,,0.55
dnarelax,csl,2,s0.05,89,42,58,73,-20400.0,0.59
dnarelax,csl,3,s0.1,89,42,58,73,-13800.0,0.64
dnarelax,csl,4,s0.2,89,41,55,72,208000.0,0.68
dnarelax,csl,5,s0.4,89,20,28,39,-75800.0,1.57
dnarelax,csl,6,s0.7,89,0,0,0,-82900.0,2.62
dnarelax,csl,7,s1.0,89,0,0,0,-83300.0,2.61
dnarelax,csl,32,final,1,0,0,0,-83700.0,2.68
dnarelax,nfat,0,init,85,129,153,188,,0.42
dnarelax,nfat,1,H-min,85,129,153,188,,0.42
dnarelax,nfat,2,s0.05,101,125,152,184,-11000.0,0.43
dnarelax,nfat,3,s0.1,98,126.0,151.5,184.75,5660.0,0.5
dnarelax,nfat,4,s0.2,91,122.5,152,184.0,518000.0,0.56
dnarelax,nfat,5,s0.4,89,57,81,122,-42500.0,1.56
dnarelax,nfat,6,s0.7,88,0.0,11.0,22.25,-45550.0,2.26
dnarelax,nfat,7,s1.0,88,0.0,4.0,12.0,-43950.0,2.415
dnarelax,nfat,102,final,1,0,0,0,-48000.0,2.59
dnarelax,runx,0,init,96,29.0,46.0,85.0,,0.615
dnarelax,runx,1,H-min,96,29.0,46.0,85.0,,0.615
dnarelax,runx,2,s0.05,104,30.75,51.0,88.0,-28100.0,0.445
dnarelax,runx,3,s0.1,103,29.0,50,86.5,-25200.0,0.66
dnarelax,runx,4,s0.2,96,25.75,44.5,73.0,-10795.0,0.765
dnarelax,runx,5,s0.4,96,15.0,22.5,39.75,-45750.0,1.835
dnarelax,runx,6,s0.7,96,0.0,0.0,0.0,-47200.0,2.71
dnarelax,runx,7,s1.0,96,0.0,0.0,0.0,-47300.0,2.71
dnarelax,runx,56,final,1,0,0,0,-47100.0,2.62
dnarelax,err,0,init,92,106.75,144.5,178.0,,0.44
dnarelax,err,1,H-min,92,106.75,144.5,178.0,,0.44
dnarelax,err,2,s0.05,96,109.75,145.0,180.25,-19550.0,0.335
dnarelax,err,3,s0.1,95,109.5,142,183.0,26400.0,0.45
dnarelax,err,4,s0.2,94,104.0,142.0,176.0,1540000.0,0.575
dnarelax,err,5,s0.4,92,46.0,66.5,92.5,-36750.0,1.7
dnarelax,err,6,s0.7,92,0.0,10.0,12.0,-36700.0,2.27
dnarelax,err,7,s1.0,92,0.0,0.0,12.0,-36700.0,2.4850000000000003
dnarelax,err,29,final,1,0,0,0,-37300.0,2.61
frozen,hsf,0,init,99,23.5,31,44.5,,0.74
frozen,hsf,1,H-min,99,23.5,31,44.5,,0.74
frozen,hsf,2,s0.05,99,24.0,32,44.5,-20300.0,0.63
frozen,hsf,3,s0.1,98,24.0,31.0,44.0,-18600.0,0.715
frozen,hsf,4,s0.2,97,23,30,43,-17300.0,0.95
frozen,hsf,5,s0.4,97,14,19,24,-34300.0,1.55
frozen,hsf,6,s0.7,97,0,0,0,-35700.0,2.6
frozen,hsf,7,s1.0,97,0,0,0,-35800.0,2.6
frozen,irf,0,init,91,42.0,58,71.0,,0.61
frozen,irf,1,H-min,91,42.0,58,71.0,,0.61
frozen,irf,2,s0.05,104,42.75,60.5,72.0,53050.0,0.42
frozen,irf,3,s0.1,102,43.25,59.5,72.0,72650.0,0.68
frozen,irf,4,s0.2,96,41.0,54.5,71.25,86100.0,0.76
frozen,irf,5,s0.4,93,20,26,43,-56500.0,1.62
frozen,irf,6,s0.7,91,0.0,0,0.0,-57900.0,2.66
frozen,irf,7,s1.0,91,0.0,0,0.0,-58100.0,2.67
frozen,irf,76,final,1,0,0,0,-58200.0,2.54
