tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
csl,frozen,051,30.0296,29.4618,2.126,6.1752,12.2464,6.5466,0.1894,-0.7943,-0.0428,6.0944,12.2756
csl,frozen,054,31.4314,32.0614,1.9397,6.0364,11.9281,7.7292,-1.1346,-0.8155,0.019,5.9211,11.9275
csl,frozen,055,31.1386,31.9081,2.1002,6.0991,12.048,7.9545,-2.9166,-0.8476,-0.0681,6.0178,12.09
csl,frozen,056,29.2913,29.1907,1.9645,6.097,12.0688,7.3643,-1.5182,-0.8393,-0.0186,6.03,12.0687
csl,frozen,057,26.0338,22.5961,1.9805,6.0294,12.4296,7.5305,-5.3785,-0.9856,-0.0877,5.9322,12.3475
csl,frozen,059,28.7306,23.9944,2.258,6.3176,11.798,5.6554,-2.1454,-0.7218,0.1222,6.0633,12.1156
csl,frozen,060,32.4376,27.7775,2.0352,6.3414,11.955,7.2451,-2.335,-0.8116,0.0535,6.2589,12.0213
csl,frozen,061,35.3518,31.3341,6.2979,6.8608,11.7103,5.1024,-6.7101,-0.1984,0.3839,6.4986,11.9588
csl,frozen,062,31.215,32.4951,2.0459,6.1959,11.6046,7.6115,-0.3437,-0.8678,-0.0059,6.1422,11.6687
csl,frozen,063,31.3823,31.3323,1.7946,6.2538,11.9329,6.6586,-1.6768,-0.8903,-0.0929,6.2544,12.1344
csl,frozen,064,22.6808,17.2738,1.6954,6.1363,12.0476,6.4214,-2.6569,-0.558,-0.1186,5.97,11.9462
csl,frozen,065,30.0567,31.0884,2.1503,6.1476,12.2028,7.5542,-0.5887,-0.7542,0.0075,6.0689,12.2722
csl,frozen,067,22.7512,26.8836,19.8307,6.859,11.7704,7.0774,-2.7256,-0.3851,-0.0689,6.169,12.192
csl,frozen,068,35.2902,35.613,3.7356,6.0266,12.0462,6.3933,-4.9713,-1.1223,-0.0804,5.9978,11.9988
csl,frozen,069,29.0772,30.3066,1.4144,6.21,11.7084,7.2063,1.1236,-0.7446,0.1457,6.2411,11.9556
csl,frozen,070,29.0047,30.6093,1.8413,5.8063,11.9496,6.8502,-3.7687,-0.7528,0.0514,5.9833,12.1289
csl,frozen,071,29.1062,31.5527,1.9652,6.0685,12.2638,8.318,-3.2839,-0.7523,-0.048,5.9989,12.2956
csl,frozen,072,31.3008,26.7286,2.11,5.8224,12.3727,7.1086,-4.1406,-0.7026,0.0565,5.6733,12.2343
csl,frozen,073,34.7759,36.7398,2.8146,6.4616,11.3438,8.8446,-1.731,-0.8364,0.6018,6.4989,11.5175
csl,frozen,074,29.3257,30.5009,1.8651,6.1909,11.855,7.1961,-0.9399,-0.6932,-0.0435,6.1511,12.0311
csl,frozen,075,28.7725,30.2857,2.3412,6.1086,11.7823,7.4974,-5.269,-0.9292,0.1108,6.0833,11.6443
csl,frozen,076,31.4667,32.881,2.3455,6.2109,11.7352,6.7995,2.8424,-0.8979,-0.0825,5.9911,11.6214
csl,frozen,077,27.4791,28.4626,1.5459,6.1159,11.9488,6.1912,-1.4148,-0.7566,0.0225,6.0422,11.9763
csl,frozen,078,30.0154,32.1099,2.0117,6.1124,12.0688,6.2506,-1.8732,-0.7126,0.05,5.8089,12.1163
csl,frozen,079,33.4115,33.7836,1.9434,5.8381,12.4196,6.422,-1.0232,-0.9491,-0.1608,5.8644,12.4533
csl,frozen,080,31.9659,35.7317,2.5154,6.3303,11.7019,8.3767,0.7005,-0.9469,-0.1281,6.2144,11.8413
csl,frozen,081,37.7026,40.6256,3.2747,6.2487,11.9908,5.9593,0.7314,-1.1091,0.1143,6.1189,12.1167
csl,frozen,082,30.5846,33.4957,2.0002,5.7497,12.4887,7.52,-2.776,-0.9971,-0.1394,5.7522,12.4933
csl,frozen,083,31.52,29.3444,2.8389,6.1083,12.0696,7.1069,-0.9959,-0.8918,-0.0178,6.1122,11.96
csl,frozen,084,29.5974,29.556,1.546,6.1891,11.4144,7.8707,-1.9266,-0.7228,0.0588,6.3278,11.4875
csl,frozen,085,29.8003,29.236,1.7001,5.9228,12.0271,7.652,-1.7483,-0.7643,0.1392,6.08,11.965
csl,frozen,086,30.3994,29.4994,2.0137,6.2109,11.6146,6.7907,-0.5408,-0.9149,-0.0392,6.1378,11.6862
csl,frozen,087,31.1074,31.4027,1.9118,6.1072,12.0213,8.707,-0.8189,-0.8105,-0.1622,6.1033,12.1833
csl,frozen,089,28.078,32.6284,2.7456,6.0394,12.0773,7.0578,-2.0845,-0.5661,-0.6181,6.32,11.9938
csl,frozen,090,28.9805,21.3964,2.1055,6.0691,12.4545,5.8822,-3.1731,-0.924,0.0024,5.9478,12.3822
csl,frozen,091,31.2605,30.6092,2.2508,6.1727,12.3724,6.1879,-4.6113,-0.867,-0.0777,6.0867,12.5167
csl,frozen,092,28.6074,27.9794,1.9792,6.1697,11.9248,8.2044,0.2353,-0.8139,0.0069,6.0456,12.1233
csl,relaxed,001,37.8941,43.957,3.3867,6.4849,11.9156,7.5832,1.404,-1.1406,-0.0671,6.1522,12.0638
csl,relaxed,002,32.5923,35.7396,3.5139,6.0533,13.0986,5.5906,-0.7712,-1.4233,-0.3964,6.0656,12.8588
csl,relaxed,003,43.0323,42.6817,25.9745,5.5455,13.2179,9.7443,2.7842,-0.9261,-0.745,4.3317,13.4022
csl,relaxed,004,27.962,27.3213,2.1125,6.1251,12.1196,7.722,-5.4854,-0.8921,-0.0771,6.11,12.2338
csl,relaxed,005,25.2034,21.9542,2.0026,6.4974,11.9887,7.0898,0.1608,-1.0328,-0.0136,6.48,12.1278
csl,relaxed,006,42.2038,39.1306,6.7573,6.7718,11.975,9.6991,0.6585,-1.4285,-0.1673,6.44,12.0089
csl,relaxed,007,34.7145,30.0624,3.8339,6.4456,11.8135,7.5549,-1.7258,-0.9909,0.3007,6.3189,11.9637
csl,relaxed,008,31.667,30.6221,2.6051,6.128,12.6435,6.8107,-3.93,-1.0568,-0.0849,6.0911,12.7189
csl,relaxed,009,22.1786,18.5023,2.907,6.3524,12.6086,6.4461,-2.1796,-0.792,-0.1508,6.2678,12.6212
csl,relaxed,010,33.5187,30.098,2.7194,5.9136,12.4224,8.5402,0.804,-1.0941,0.2176,5.8533,12.3837
csl,relaxed,011,29.17,30.2801,2.0295,6.3233,11.2392,7.0894,-1.2916,-0.7065,-0.0092,6.33,11.37
csl,relaxed,012,36.337,37.0148,3.1396,6.2876,11.9777,7.6105,-1.2962,-1.0201,0.0426,6.2067,12.2478
csl,relaxed,013,26.9983,30.1541,1.3892,6.1203,12.546,7.1683,-2.6813,-0.8949,-0.0374,6.14,12.6589
csl,relaxed,014,31.0528,30.6035,1.8079,6.2994,11.6584,7.7821,0.0035,-1.0287,0.0522,6.2278,11.7725
csl,relaxed,015,20.0117,20.204,2.9345,6.2146,11.9393,10.0764,-0.8116,-0.9438,-0.26,6.1656,11.7613
csl,relaxed,016,29.6699,30.5848,1.9341,5.8015,12.4012,7.1608,-3.4314,-0.9852,-0.1196,5.7,12.48
csl,relaxed,017,37.9417,40.4914,4.0615,6.6262,11.9926,7.5908,1.1384,-0.4278,0.2918,6.3756,12.235
csl,relaxed,018,29.8325,27.0346,1.8423,6.2082,11.7115,7.0549,0.5508,-1.0512,0.0471,6.1722,12.0778
csl,relaxed,019,31.8643,36.4464,2.9531,6.5889,12.3807,8.0759,-4.2461,-0.878,-0.1758,6.4256,12.5
csl,relaxed,020,29.2843,24.5845,2.5714,6.3026,11.6173,6.9385,-1.9366,-0.993,0.0706,6.2511,11.7575
csl,relaxed,021,35.2695,40.9445,2.7297,6.4236,12.0596,8.71,-1.3513,-0.9654,0.2282,6.7925,12.1937
csl,relaxed,022,36.9297,34.6464,12.6933,5.5694,13.0815,8.4242,-4.0018,-1.3522,-0.3813,5.1511,12.72
csl,relaxed,023,35.6925,37.7591,2.7895,6.2459,12.0504,6.5079,0.0001,-1.071,0.2734,6.1333,12.145
csl,relaxed,024,32.1126,33.2327,2.1844,6.0359,11.7388,7.1987,1.9414,-1.0816,-0.0106,5.8222,11.6543
csl,relaxed,025,30.2693,32.2731,2.0222,6.2503,11.6824,8.4745,-2.7775,-1.0306,0.0454,6.1622,12.0811
csl,relaxed,026,31.2397,30.463,1.8643,6.1882,12.0456,6.6269,-0.589,-1.0258,0.0243,6.1211,12.2278
csl,relaxed,027,27.5994,26.9892,2.2865,6.3224,11.5172,8.2736,-2.8414,-1.1544,-0.1229,6.1933,11.6788
csl,relaxed,029,32.6835,33.6425,2.1788,6.4921,11.9931,6.4993,-0.3424,-0.9332,0.1065,6.4456,12.2167
csl,relaxed,030,30.0439,23.9313,2.1845,6.1962,12.0072,7.2725,0.8239,-0.9913,0.0314,6.1378,12.0263
csl,relaxed,031,31.4529,29.0814,1.8899,6.0558,12.0617,5.6987,-0.2391,-0.7891,0.0963,5.9711,12.0
csl,relaxed,032,26.7095,23.7065,1.748,5.6921,12.4854,6.6948,-0.9315,-0.8427,-0.0017,5.7156,12.2412
csl,relaxed,033,27.8828,28.8027,1.6835,6.3665,11.39,6.6545,-0.7175,-1.0342,-0.0464,6.3489,11.8989
csl,relaxed,034,29.0412,32.2143,2.8923,6.1024,12.526,7.3555,2.4826,-1.2465,-0.1066,6.0733,12.2657
csl,relaxed,035,30.9891,27.8955,2.0873,6.0926,12.4312,5.4988,-1.9747,-0.945,0.1015,6.0511,12.6156
csl,relaxed,036,30.0956,32.6217,1.8569,6.0447,12.4515,8.1666,-2.5742,-0.9008,-0.2239,6.0556,12.3889
csl,relaxed,037,30.5835,28.3942,2.3655,6.033,12.1573,7.4378,-1.777,-0.8684,0.0856,6.0089,12.3656
csl,relaxed,038,31.7689,30.8199,2.4663,6.5182,11.4648,8.0151,-1.2266,-0.7839,-0.1609,6.4444,11.6263
csl,relaxed,039,34.8739,28.928,2.4985,6.2588,12.5542,6.9057,-2.1269,-1.3281,-0.0834,6.1011,12.7144
csl,relaxed,040,31.8158,34.6742,2.8502,5.9964,11.3042,8.3853,-2.0951,-0.8807,0.136,5.8867,11.1857
csl,relaxed,041,26.6312,18.7147,1.922,6.0269,12.2785,5.1791,-3.329,-0.877,-0.093,5.8833,12.1029
csl,relaxed,042,30.0004,31.0697,1.8889,6.4882,12.0915,6.436,-1.5455,-0.778,0.1935,6.4244,12.11
csl,relaxed,043,33.9292,24.2914,2.1886,5.8733,11.8719,6.7405,-2.0156,-0.9743,0.1721,5.8225,12.0344
csl,relaxed,044,31.3926,32.981,2.0143,6.6148,11.6952,8.4021,1.5857,-1.005,0.0871,6.5189,11.99
csl,relaxed,045,29.877,29.5776,1.7814,6.0666,11.9996,5.963,-0.6279,-1.0011,0.0377,6.0822,12.1989
csl,relaxed,046,28.5024,25.0146,1.7292,5.8987,12.0804,8.2294,-2.9441,-0.9789,-0.0655,5.67,11.995
csl,relaxed,047,32.3364,38.5329,1.8645,6.4621,11.1881,8.1948,-0.1319,-0.6957,0.0566,6.3856,11.5278
csl,relaxed,048,31.9257,36.0089,3.1726,6.6571,12.0742,8.3238,-3.0644,-0.9795,0.0652,6.6525,12.4111
csl,relaxed,049,32.6549,28.8179,2.4271,6.5679,11.7377,8.2149,-1.2028,-0.7162,0.1034,6.5533,12.0356
