tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,frozen,048,31.6779,38.9603,29.2751,6.009,11.0834,-9.5532,-45.0507,0.6316,-0.8978,5.9768,11.37
dux4,frozen,049,21.0641,13.4438,35.7234,4.8432,11.8968,2.4254,12.1378,-0.1772,0.3805,4.6674,11.8393
dux4,frozen,050,140.2877,45.4895,32.7226,6.2348,10.1067,2.7171,20.9558,0.9448,-0.2878,5.464,12.1382
dux4,frozen,051,5.618,11.1089,37.5009,7.2508,11.6957,5.8642,0.6439,-0.4654,-0.2871,6.406,11.6262
dux4,frozen,052,30.9633,39.8887,9.3523,7.1655,10.466,15.7055,-2.6367,-1.1073,-0.4905,7.0373,10.974
dux4,frozen,053,31.4632,33.8895,42.8512,6.9509,12.5063,13.0863,1.7475,-0.9297,-0.1912,6.0487,12.0567
dux4,frozen,054,8.8106,16.4348,17.0261,6.2983,10.9437,8.8998,2.9491,-0.9632,0.397,6.5626,11.32
dux4,frozen,055,4.3425,15.2743,44.1428,6.4912,13.3941,5.2481,15.9954,-0.9978,-0.1543,6.5623,11.8195
dux4,frozen,056,150.6854,21.6675,33.786,7.0757,12.2679,8.1668,-3.196,-0.1123,0.8071,5.5873,12.3286
dux4,frozen,057,36.8628,25.2085,17.3645,6.5586,11.5323,8.487,3.2141,-0.7479,-0.1548,6.4205,11.4718
dux4,frozen,058,28.8356,27.8948,20.6172,8.369,13.2043,-0.1563,0.5259,0.4731,0.0081,5.3427,12.2363
dux4,frozen,059,36.0031,30.8614,12.8838,6.6835,11.4867,9.933,6.459,-0.8848,-0.7671,6.3967,11.5446
dux4,frozen,060,37.3897,50.6712,8.3629,5.9398,11.7031,11.7743,-1.6865,-1.5395,-0.3439,6.1893,11.5146
dux4,frozen,061,20.9531,26.4811,28.8491,5.5992,12.8347,7.6155,-12.3702,-1.4079,-0.3756,5.3284,11.5
dux4,frozen,062,10.4713,24.1878,29.6323,6.5514,13.3831,9.1808,-0.1482,-0.6978,0.0569,6.5833,11.6116
dux4,frozen,063,10.3439,12.0047,3.8211,6.1054,11.7912,8.6508,-0.2924,-0.8764,-0.2088,6.4088,11.902
