tf,family,delta,lo,hi,abs_delta
tbp,induced-fit,-2.3470999999999975,-5.122701250000008,1.2301037500000003,2.3470999999999975
lef1,induced-fit,0.3459000000000003,-2.1300999999999988,2.163000000000011,0.3459000000000003
engrailed,induced-fit,-2.616199999999999,-3.5193987499999992,-1.4322,2.616199999999999
egr1,rigid,-0.0793000000000017,-1.7442337499999994,1.7861999999999991,0.0793000000000017
ets1,rigid,0.8741749999999993,0.2653999999999961,1.4282350000000033,0.8741749999999993
foxa,rigid,1.189899999999998,-1.0396999999999998,2.598977499999991,1.189899999999998
dux4,rigid,0.5720500000000008,-8.5702,7.80294749999999,0.5720500000000008
