aug_MAE,aug_P,base_MAE,base_P,iface_mgwfl_af3,iface_mgwfl_froz,iface_mgwfl_relax,n_iface,pilot
0.6449404859390014,0.6138786073302898,0.6007050223075426,0.6408848805143047,0.19275,0.29325,0.7171428571428572,10,egr1
0.6391764163684386,0.6174967593980152,0.6186011691888175,0.6216127633665577,0.2104,0.5458000000000001,0.6214000000000001,5,engrailed
0.6201263463841035,0.6319039637848547,0.6087546916344226,0.6307860462594911,0.24928571428571428,0.1907142857142857,0.34771428571428575,8,ets1
0.6198229311177365,0.6277477124479561,0.6051003880607776,0.6295309775899145,0.096625,1.1395,1.43975,8,foxa
0.6171812605399353,0.6189174036371353,0.6163631000427099,0.627554750307979,0.15145454545454545,1.22,1.274,11,lef1
0.6254104299614063,0.6214199527490142,0.6004144110358678,0.6366405376876462,0.20225,0.20575000000000002,0.386875,8,tbp
0.6636417873012713,0.5858673801455693,0.6185225147849475,0.6229185559953512,0.08999999999999998,0.6033333333333332,0.596,10,csl
0.6246586354688193,0.6152845591759578,0.5984248084135545,0.6389359028085967,0.15314285714285716,1.357,1.4224285714285716,7,err
0.6360225097261942,0.6083193162147611,0.6025152974976943,0.6390537167075079,0.10316666666666667,1.3008333333333333,1.3763999999999998,9,nfat
0.6085500600437322,0.6297857714131588,0.6042371214391329,0.6294089511664963,0.09899999999999999,0.577375,0.6162500000000001,8,runx
0.6030897057056427,0.633549597369454,0.6148367343040613,0.6304935149976582,0.19666666666666666,0.15350000000000003,0.641,5,hsf
0.6216467516926618,0.6188062352230579,0.6093514070831813,0.631862096657465,0.09416666666666666,,,6,irf
