cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,004,0.9826,34.39,34.67,0.27,8.058
relaxed,005,0.7497,34.4,34.91,0.52,7.656
relaxed,006,0.6727,34.39,34.17,-0.23,7.053
relaxed,007,0.7004,34.39,34.23,-0.17,7.12
relaxed,008,0.5069,34.4,34.86,0.46,7.226
relaxed,009,0.5808,34.39,33.64,-0.76,7.174
relaxed,010,0.5268,34.39,33.76,-0.63,7.075
relaxed,011,0.1275,34.39,34.21,-0.18,6.923
relaxed,012,0.8602,34.39,36.57,2.17,7.134
relaxed,013,0.838,34.39,36.89,2.49,7.162
relaxed,014,0.6694,34.39,33.72,-0.67,7.066
relaxed,015,0.3682,34.39,33.82,-0.58,7.075
relaxed,016,0.7997,34.4,36.19,1.8,7.118
relaxed,017,0.7067,34.39,34.23,-0.16,7.225
relaxed,018,0.5909,34.39,34.76,0.37,7.113
relaxed,019,0.5639,34.39,34.12,-0.27,7.134
relaxed,020,0.491,34.39,33.47,-0.92,7.132
relaxed,021,0.4404,34.39,33.74,-0.66,7.099
relaxed,022,0.5293,34.39,33.78,-0.61,7.057
relaxed,023,0.621,34.39,33.42,-0.98,7.231
relaxed,024,0.5204,34.39,35.72,1.32,7.142
relaxed,025,0.6318,34.4,36.21,1.81,7.169
relaxed,026,0.6044,34.39,32.76,-1.63,7.072
relaxed,027,1.0274,34.39,37.76,3.36,7.274
relaxed,028,0.621,34.39,34.22,-0.18,7.037
relaxed,029,0.6382,34.39,35.16,0.76,7.147
relaxed,030,0.7665,34.39,36.39,2.0,7.238
relaxed,031,0.6506,34.39,34.38,-0.01,7.154
relaxed,032,0.5409,34.39,35.28,0.89,7.208
relaxed,033,0.4119,34.39,34.46,0.06,7.101
relaxed,034,0.7911,34.39,34.44,0.04,7.075
relaxed,035,0.4152,34.39,37.23,2.84,7.166
relaxed,037,0.6974,34.39,33.25,-1.15,7.137
relaxed,038,0.6449,34.39,36.2,1.8,7.148
relaxed,039,0.5809,34.39,33.09,-1.3,7.029
relaxed,040,0.6592,34.39,37.44,3.04,7.144
relaxed,041,0.9042,34.39,30.76,-3.63,7.128
relaxed,042,0.4621,34.4,34.95,0.56,7.15
relaxed,043,0.5633,34.39,35.54,1.14,7.274
relaxed,044,0.5692,34.39,34.74,0.34,7.202
relaxed,046,0.3859,34.39,33.89,-0.5,7.139
relaxed,047,0.6114,34.39,34.94,0.55,7.171
relaxed,048,0.8143,34.39,35.98,1.59,7.673
relaxed,049,1.0146,34.39,35.35,0.96,7.7
relaxed,050,0.7967,34.39,35.52,1.13,7.102
relaxed,051,0.6736,34.39,34.37,-0.02,7.256
relaxed,052,0.8606,34.39,37.45,3.05,7.086
relaxed,053,0.7343,34.4,36.53,2.14,7.111
relaxed,054,0.4354,34.39,34.44,0.05,7.096
relaxed,055,0.566,34.39,34.61,0.22,6.962
relaxed,056,0.5031,34.4,36.2,1.8,7.157
relaxed,057,0.908,34.39,34.32,-0.08,7.21
relaxed,058,0.6928,34.39,35.48,1.09,7.117
relaxed,059,0.687,34.39,36.18,1.79,7.264
relaxed,060,0.9648,34.4,33.63,-0.77,7.239
relaxed,061,0.9704,34.39,34.47,0.08,7.697
relaxed,062,0.66,34.39,35.18,0.79,7.104
