cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,011,1.7648,40.07,36.59,-3.48,7.806
relaxed,012,1.1704,40.07,36.94,-3.13,7.263
relaxed,013,1.7473,40.07,39.98,-0.09,7.45
relaxed,014,1.1254,40.07,35.42,-4.65,7.835
relaxed,015,0.7347,40.07,40.8,0.73,7.517
relaxed,017,0.9372,40.07,34.64,-5.43,7.488
relaxed,018,1.7682,40.07,38.45,-1.62,8.107
relaxed,019,1.2429,40.07,37.71,-2.36,7.726
relaxed,020,0.9995,40.07,41.76,1.69,7.525
relaxed,021,1.0923,40.07,44.74,4.67,7.638
relaxed,022,0.8644,40.07,41.56,1.49,7.655
relaxed,023,1.1726,40.07,40.75,0.68,7.822
relaxed,024,1.5719,40.07,36.86,-3.21,7.923
relaxed,025,1.1137,40.07,35.47,-4.6,8.587
relaxed,026,1.6357,40.07,47.19,7.11,7.666
relaxed,027,1.2637,40.07,45.6,5.53,7.182
relaxed,028,0.884,40.07,45.4,5.33,7.719
relaxed,029,0.621,40.07,42.52,2.45,7.65
relaxed,030,0.7177,40.07,41.6,1.53,7.669
relaxed,031,0.6691,40.07,37.26,-2.81,7.505
relaxed,032,1.3037,40.07,39.24,-0.84,7.713
relaxed,033,1.1454,40.07,37.0,-3.08,7.903
relaxed,034,0.7279,40.07,40.19,0.12,7.607
relaxed,035,1.9324,40.07,50.18,10.11,7.83
relaxed,036,1.7083,40.07,34.63,-5.44,7.86
relaxed,037,0.9326,40.07,38.84,-1.23,7.623
relaxed,038,0.8327,40.07,38.94,-1.13,7.687
relaxed,039,1.0181,40.07,33.45,-6.62,7.872
relaxed,040,0.1032,40.07,39.91,-0.16,7.248
relaxed,041,0.8314,40.07,36.17,-3.9,7.652
relaxed,042,1.3988,40.07,46.05,5.97,7.659
relaxed,043,0.7962,40.07,39.92,-0.15,7.66
relaxed,044,1.246,40.07,36.36,-3.71,7.63
relaxed,045,0.6665,40.07,40.82,0.75,7.747
relaxed,046,1.3263,40.07,37.81,-2.26,7.565
relaxed,047,1.4212,40.07,39.55,-0.53,7.84
relaxed,048,0.838,40.07,39.93,-0.15,7.628
relaxed,049,1.3294,40.07,36.68,-3.39,7.927
relaxed,050,1.4278,40.07,44.91,4.84,8.736
relaxed,051,0.4991,40.07,40.6,0.53,7.543
relaxed,052,1.265,40.07,45.35,5.28,8.354
relaxed,053,0.0137,40.07,40.07,0.0,7.148
relaxed,054,0.8943,40.07,45.04,4.97,7.651
relaxed,055,0.9129,40.07,46.43,6.36,7.675
relaxed,056,1.5406,40.07,35.74,-4.33,7.893
relaxed,057,1.2716,40.07,41.32,1.25,7.817
relaxed,058,1.0233,40.07,39.06,-1.02,8.127
relaxed,059,0.9133,40.07,44.49,4.41,7.781
relaxed,060,1.5878,40.07,48.88,8.81,8.387
relaxed,061,0.8041,40.07,41.26,1.19,7.604
relaxed,062,1.2419,40.07,38.97,-1.11,8.655
relaxed,063,0.9941,40.07,43.29,3.22,7.234
relaxed,064,0.9055,40.07,41.84,1.77,7.601
relaxed,065,0.9639,40.07,39.18,-0.89,7.696
relaxed,066,1.7345,40.07,41.31,1.24,7.682
relaxed,067,0.641,40.07,42.67,2.6,7.678
relaxed,068,0.7208,40.07,41.13,1.06,7.675
relaxed,069,0.5771,40.07,42.12,2.05,7.687
relaxed,071,0.7014,40.07,42.1,2.02,7.68
relaxed,072,1.1474,40.07,42.45,2.38,7.687
relaxed,073,0.7891,40.07,43.57,3.5,7.614
relaxed,074,1.556,40.07,42.55,2.48,8.165
relaxed,075,0.7901,40.07,42.06,1.99,7.678
relaxed,076,1.0285,40.07,42.22,2.15,7.535
relaxed,077,1.2273,40.07,41.38,1.31,8.254
relaxed,078,1.2884,40.07,33.21,-6.86,8.245
relaxed,079,0.7482,40.07,42.7,2.63,7.642
relaxed,080,0.5767,40.07,40.72,0.65,7.66
relaxed,081,0.6428,40.07,40.17,0.09,7.683
relaxed,082,1.9046,40.07,45.93,5.86,8.039
relaxed,083,0.823,40.07,39.14,-0.93,7.601
relaxed,084,0.8293,40.07,43.45,3.38,7.653
relaxed,085,0.7552,40.07,41.69,1.62,7.653
relaxed,086,1.9692,40.07,40.43,0.36,7.894
relaxed,087,0.6776,40.07,42.42,2.35,7.654
relaxed,088,0.4732,40.07,40.23,0.16,7.676
relaxed,089,0.9568,40.07,45.62,5.55,7.289
relaxed,090,0.9574,40.07,44.08,4.0,8.213
relaxed,091,1.7467,40.07,45.13,5.07,7.675
relaxed,092,0.0327,40.07,40.06,-0.01,7.149
