cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,006,0.7474,110.1,110.38,0.28,7.715
relaxed,007,0.6013,110.1,108.55,-1.55,7.764
relaxed,008,0.9048,110.1,108.31,-1.8,7.742
relaxed,009,0.6012,110.1,109.64,-0.47,7.667
relaxed,010,0.7435,110.1,109.29,-0.81,7.769
relaxed,011,0.7931,110.1,108.51,-1.59,7.783
relaxed,012,0.6237,110.1,109.0,-1.1,7.765
relaxed,013,0.7256,110.1,109.64,-0.46,7.712
relaxed,014,0.647,110.1,107.88,-2.22,7.698
relaxed,015,1.1609,110.1,110.35,0.25,7.624
relaxed,016,0.7416,110.1,111.49,1.39,7.749
relaxed,017,0.6804,110.1,109.23,-0.87,7.691
relaxed,018,0.7403,110.1,108.39,-1.71,7.734
relaxed,019,1.2558,110.1,109.02,-1.09,7.622
relaxed,020,0.8501,110.1,109.94,-0.16,7.657
relaxed,021,0.6698,110.1,108.24,-1.86,7.726
relaxed,022,0.8931,110.1,107.92,-2.19,7.732
relaxed,023,0.7504,110.1,108.01,-2.09,7.736
relaxed,024,0.584,110.1,109.66,-0.44,7.683
relaxed,025,0.7595,110.1,108.14,-1.96,7.736
relaxed,026,0.6245,110.1,108.83,-1.27,7.705
relaxed,027,0.8028,110.1,107.84,-2.26,7.605
relaxed,028,0.6066,110.1,109.18,-0.93,7.776
relaxed,029,0.5932,110.1,108.7,-1.4,7.765
relaxed,030,0.5898,110.1,108.27,-1.84,7.714
relaxed,031,0.7247,110.1,109.08,-1.02,7.907
relaxed,033,0.8535,110.1,109.8,-0.3,7.744
relaxed,034,0.8423,110.1,110.02,-0.08,7.756
relaxed,035,0.5551,110.1,108.81,-1.3,7.729
relaxed,036,0.716,110.1,109.28,-0.82,7.713
relaxed,037,0.7143,110.1,107.92,-2.18,7.786
relaxed,038,0.6181,110.1,108.15,-1.95,7.774
relaxed,039,0.7771,110.1,108.15,-1.95,7.734
relaxed,040,0.6711,110.1,108.66,-1.44,7.694
relaxed,041,0.74,110.1,108.73,-1.37,7.769
relaxed,042,1.6572,110.1,108.9,-1.2,7.973
relaxed,043,0.766,110.1,109.32,-0.78,7.751
relaxed,044,0.7568,110.1,109.19,-0.92,7.762
relaxed,045,0.6082,110.1,109.34,-0.76,7.758
relaxed,046,0.6992,110.1,108.5,-1.61,7.705
relaxed,047,0.6016,110.1,108.59,-1.51,7.764
relaxed,048,0.6191,110.1,108.7,-1.4,7.771
relaxed,049,1.2026,110.1,111.37,1.27,7.656
relaxed,050,0.9884,110.1,109.97,-0.13,7.898
relaxed,051,0.7454,110.1,109.9,-0.2,7.738
relaxed,052,0.7126,110.1,109.77,-0.33,7.693
relaxed,053,0.6755,110.1,109.34,-0.76,7.648
relaxed,054,0.7534,110.1,109.39,-0.72,7.74
relaxed,055,0.7041,110.1,109.3,-0.8,7.731
relaxed,056,0.9094,110.1,112.01,1.91,7.624
relaxed,057,0.6954,110.1,108.74,-1.37,7.719
relaxed,058,0.566,110.1,108.98,-1.12,7.783
relaxed,059,0.6975,110.1,109.7,-0.4,7.759
relaxed,060,0.5675,110.1,108.77,-1.33,7.773
relaxed,061,0.5894,110.1,109.51,-0.59,7.76
relaxed,062,0.8928,110.1,109.36,-0.74,7.743
relaxed,063,0.824,110.1,109.85,-0.25,7.733
relaxed,064,0.7109,110.1,108.27,-1.83,7.738
relaxed,065,0.9033,110.1,107.97,-2.14,7.687
relaxed,066,0.7496,110.1,109.31,-0.8,7.7
relaxed,067,1.1745,110.1,110.92,0.82,7.694
relaxed,068,0.5635,110.1,108.26,-1.85,7.712
relaxed,069,0.7552,110.1,109.39,-0.71,7.754
relaxed,070,0.564,110.1,109.44,-0.66,7.728
relaxed,071,0.7358,110.1,109.21,-0.89,7.66
relaxed,072,0.8069,110.1,107.64,-2.47,7.728
relaxed,073,0.7715,110.1,108.75,-1.36,7.761
relaxed,074,0.7731,110.1,110.81,0.71,7.76
relaxed,075,0.7321,110.1,109.12,-0.98,7.67
relaxed,076,0.6761,110.1,109.21,-0.89,7.767
