cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,006,0.5397,3.28,3.59,0.32,7.297
relaxed,007,0.6083,3.28,3.75,0.47,7.171
relaxed,008,0.6676,3.28,2.82,-0.46,7.144
relaxed,009,0.5928,3.28,3.03,-0.25,7.284
relaxed,010,0.78,3.28,3.58,0.31,7.272
relaxed,011,0.5147,3.28,3.07,-0.21,7.167
relaxed,012,0.5214,3.28,3.47,0.19,7.117
relaxed,013,0.4765,3.28,2.99,-0.29,7.068
relaxed,014,0.9866,3.28,6.89,3.61,7.254
relaxed,015,0.472,3.28,3.22,-0.06,7.14
relaxed,016,0.5797,3.28,3.7,0.43,7.286
relaxed,017,0.7026,3.28,4.93,1.65,7.328
relaxed,018,0.5305,3.28,2.82,-0.46,7.272
relaxed,019,0.707,3.28,5.11,1.83,7.388
relaxed,020,0.5735,3.27,3.08,-0.2,7.259
relaxed,021,0.612,3.28,4.67,1.39,7.104
relaxed,022,0.75,3.28,4.66,1.39,7.125
relaxed,023,0.4798,3.27,2.92,-0.36,7.745
relaxed,024,0.6785,3.28,3.51,0.23,7.236
relaxed,025,0.5805,3.28,3.5,0.23,7.379
relaxed,026,0.5588,3.28,2.86,-0.41,7.276
relaxed,027,0.5496,3.28,3.8,0.52,7.114
relaxed,028,0.5098,3.28,3.16,-0.11,7.103
relaxed,029,0.5383,3.28,3.09,-0.19,7.129
relaxed,030,0.7354,3.28,3.65,0.37,7.826
relaxed,031,0.6141,3.28,3.5,0.23,8.001
relaxed,032,0.522,3.28,2.71,-0.56,7.314
relaxed,033,0.7601,3.27,5.03,1.76,7.12
relaxed,034,0.6161,3.28,3.6,0.32,7.075
relaxed,035,0.533,3.28,3.04,-0.24,7.236
relaxed,036,0.5452,3.28,3.33,0.05,7.117
relaxed,037,0.5363,3.28,3.26,-0.01,7.092
relaxed,038,0.4632,3.28,3.13,-0.15,7.064
relaxed,039,0.4255,3.28,2.81,-0.46,7.204
relaxed,040,0.7548,3.28,4.28,1.0,7.153
relaxed,041,0.6139,3.28,3.73,0.46,7.451
relaxed,042,0.6384,3.28,3.65,0.38,7.166
relaxed,043,0.7174,3.28,4.38,1.11,7.697
relaxed,044,0.6843,3.28,4.21,0.93,7.198
relaxed,045,0.544,3.27,3.35,0.08,7.197
relaxed,046,0.6018,3.28,3.53,0.25,7.281
relaxed,047,0.6111,3.28,3.66,0.38,7.285
relaxed,048,0.5151,3.27,3.54,0.26,7.097
relaxed,049,0.8379,3.28,3.78,0.5,7.21
relaxed,050,0.4609,3.28,3.41,0.14,7.047
relaxed,051,0.7402,3.28,4.96,1.68,7.116
relaxed,052,0.7066,3.27,4.13,0.85,7.115
relaxed,053,0.4801,3.28,2.78,-0.5,7.157
relaxed,054,0.5545,3.28,3.43,0.15,7.11
relaxed,055,0.6161,3.28,2.53,-0.75,7.119
relaxed,056,0.5886,3.28,3.03,-0.25,8.049
relaxed,057,0.5199,3.28,3.96,0.68,7.104
relaxed,058,0.6024,3.28,3.95,0.67,7.192
relaxed,059,0.6753,3.28,2.74,-0.53,7.494
relaxed,060,0.5512,3.28,3.16,-0.12,7.198
relaxed,061,0.5893,3.27,3.84,0.56,7.305
relaxed,062,0.3865,3.28,2.97,-0.31,7.176
relaxed,063,0.6315,3.28,2.61,-0.67,7.593
relaxed,064,0.5435,3.28,3.72,0.45,7.402
relaxed,065,0.5642,3.28,3.32,0.05,7.183
relaxed,066,0.6294,3.28,3.31,0.03,7.738
relaxed,067,0.7872,3.28,2.88,-0.4,7.15
relaxed,068,0.5518,3.28,4.03,0.76,7.108
relaxed,069,0.3912,3.28,3.25,-0.02,7.137
relaxed,070,0.5777,3.28,3.31,0.04,7.106
relaxed,071,0.6242,3.28,2.97,-0.31,7.076
relaxed,072,0.6781,3.28,4.04,0.76,7.568
relaxed,073,0.6317,3.27,3.38,0.11,7.106
relaxed,074,0.4045,3.28,3.52,0.24,7.095
relaxed,075,0.6218,3.28,2.93,-0.35,7.1
relaxed,076,0.4845,3.28,2.8,-0.47,7.158
relaxed,077,0.4901,3.28,3.63,0.35,7.272
relaxed,079,0.6693,3.28,2.71,-0.57,7.214
relaxed,080,0.5266,3.28,3.69,0.42,7.11
relaxed,081,0.5788,3.28,2.96,-0.32,7.226
relaxed,082,0.6201,3.27,4.14,0.87,7.093
relaxed,083,0.5989,3.28,2.8,-0.47,7.115
relaxed,084,0.5587,3.28,4.29,1.02,7.522
relaxed,085,0.511,3.28,2.8,-0.48,7.146
relaxed,086,0.528,3.28,4.02,0.74,7.208
relaxed,087,0.5284,3.28,3.39,0.12,7.129
relaxed,088,0.6064,3.28,4.17,0.89,7.128
relaxed,089,0.6472,3.27,3.63,0.35,7.232
relaxed,090,0.5234,3.28,3.16,-0.11,7.123
relaxed,091,0.594,3.28,3.15,-0.12,7.149
relaxed,092,0.5524,3.28,3.55,0.27,7.228
relaxed,093,0.598,3.28,3.36,0.09,7.506
relaxed,094,0.9312,3.28,3.76,0.48,8.19
relaxed,095,0.5223,3.28,3.2,-0.07,7.075
relaxed,096,0.7092,3.28,3.47,0.19,7.444
relaxed,097,0.4469,3.27,3.28,0.0,7.085
