term,beta,se,t,p
const,0.029622202800522943,0.012221298213205459,2.4238180170184633,0.045834549600272126
froz_bend_iqr,-0.021193159426227515,0.013499100909370745,-1.569968219995729,0.16041370468568794
base_selffam_P,-0.02725753961989514,0.018323250229956803,-1.4875930458741216,0.18045688081483072
n_selffam_entries,-0.029588379305320718,0.01837343647079022,-1.6103889630205992,0.15134824551697681
