axis,measured_on,dna,n,spearman_rho,boot_ci_lo,boot_ci_hi,frac_same_sign,spearman_p
iface_mgwfl_froz,iface_mgwfl_froz,frozen,10,-0.16363636363636364,-0.7106918238993711,0.6226415094339623,0.6886,0.6514773427962428
iface_mgwfl_froz,iface_mgwfl_relax,relax,10,-0.3696969696969697,-0.9199999999999999,0.4230769230769231,0.8367,0.2930500752928223
froz_bend_iqr,froz_bend_iqr,frozen,11,-0.5272727272727273,-0.9061032863849764,0.21495327102803738,0.9288,0.09556521835315422
froz_bend_iqr,froz_bend_iqr,relax,11,-0.7636363636363637,-0.9615384615384613,-0.2796208530805687,0.9957,0.006233059747904751
cry_bend_uu,cry_bend_uu,frozen,11,0.03636363636363637,-0.6538461538461539,0.7641509433962261,0.5361,0.9154683168905347
cry_bend_uu,cry_bend_uu,relax,11,-0.07272727272727274,-0.798076923076923,0.6619718309859155,0.5742,0.831716405381337
