pilot,source,pairwise_ca_rmsd
ets1,bioemu,1.1413
ets1,bioemu,2.199
ets1,bioemu,1.5274
ets1,bioemu,1.4105
ets1,bioemu,2.7274
ets1,bioemu,1.6939
ets1,bioemu,1.3013
ets1,bioemu,1.3291
ets1,bioemu,1.6158
ets1,bioemu,1.6611
ets1,bioemu,1.7687
ets1,bioemu,1.9211
ets1,bioemu,1.8028
ets1,bioemu,1.4397
ets1,bioemu,1.6263
ets1,bioemu,1.3598
ets1,bioemu,1.6526
ets1,bioemu,1.5622
ets1,bioemu,1.2367
ets1,bioemu,1.2476
ets1,bioemu,1.9636
ets1,bioemu,1.9508
ets1,bioemu,1.5953
ets1,bioemu,1.4878
ets1,bioemu,1.6858
ets1,bioemu,1.6681
ets1,bioemu,2.0087
ets1,bioemu,1.43
ets1,bioemu,1.7046
ets1,bioemu,1.2434
ets1,bioemu,1.1293
ets1,bioemu,1.9232
ets1,bioemu,2.0057
ets1,bioemu,1.5573
ets1,bioemu,1.7919
ets1,bioemu,1.3943
ets1,bioemu,1.6368
ets1,bioemu,1.4594
ets1,bioemu,1.6789
ets1,bioemu,1.6037
ets1,bioemu,1.3509
ets1,bioemu,2.5961
ets1,bioemu,1.2898
ets1,bioemu,1.27
ets1,bioemu,2.0622
ets1,bioemu,1.1554
ets1,bioemu,1.6889
ets1,bioemu,1.5505
ets1,bioemu,1.4555
ets1,bioemu,1.2457
ets1,bioemu,1.7225
ets1,bioemu,1.572
ets1,bioemu,1.7161
ets1,bioemu,1.3986
ets1,bioemu,1.31
ets1,bioemu,1.2497
ets1,bioemu,1.5287
ets1,bioemu,1.4734
ets1,bioemu,1.8081
ets1,bioemu,1.237
ets1,bioemu,1.6389
ets1,bioemu,1.663
ets1,bioemu,1.2705
ets1,bioemu,1.4857
ets1,bioemu,1.3643
ets1,bioemu,1.5281
ets1,bioemu,3.1387
ets1,bioemu,2.7706
ets1,bioemu,4.9008
ets1,bioemu,2.7921
ets1,bioemu,2.7758
ets1,bioemu,2.7859
ets1,bioemu,2.6859
ets1,bioemu,3.026
ets1,bioemu,2.7032
ets1,bioemu,2.8178
ets1,bioemu,2.6336
ets1,bioemu,2.7348
ets1,bioemu,2.5409
ets1,bioemu,2.6935
ets1,bioemu,2.7708
ets1,bioemu,2.7862
ets1,bioemu,2.626
ets1,bioemu,2.6218
ets1,bioemu,3.4514
ets1,bioemu,2.7094
ets1,bioemu,3.0833
ets1,bioemu,2.8928
ets1,bioemu,2.9888
ets1,bioemu,2.8541
ets1,bioemu,2.5105
ets1,bioemu,2.7213
ets1,bioemu,2.8176
ets1,bioemu,2.3742
ets1,bioemu,2.6411
ets1,bioemu,4.632
ets1,bioemu,2.6254
ets1,bioemu,2.73
ets1,bioemu,2.8084
ets1,bioemu,3.2199
ets1,bioemu,3.3927
ets1,bioemu,2.3927
ets1,bioemu,2.8554
ets1,bioemu,2.8729
ets1,bioemu,3.1304
ets1,bioemu,2.6292
ets1,bioemu,2.7341
ets1,bioemu,2.5549
ets1,bioemu,2.5385
ets1,bioemu,2.7381
ets1,bioemu,2.5177
ets1,bioemu,2.9175
ets1,bioemu,3.1244
ets1,bioemu,2.457
ets1,bioemu,2.6863
ets1,bioemu,2.8166
ets1,bioemu,3.3966
ets1,bioemu,2.6802
ets1,bioemu,2.8345
ets1,bioemu,2.7765
ets1,bioemu,2.312
ets1,bioemu,2.7978
ets1,bioemu,2.2992
ets1,bioemu,2.5929
ets1,bioemu,2.7364
ets1,bioemu,2.8172
ets1,bioemu,2.8706
