pilot,stage,state,ca_rmsd,nres
tbp,stage3,070,0.9844,180
tbp,stage3,071,0.9693,180
tbp,stage3,072,1.4124,180
tbp,stage3,073,1.3356,180
tbp,stage3,074,1.0514,180
tbp,stage3,075,1.3928,180
tbp,stage3,076,0.825,180
tbp,stage3,077,0.9189,180
tbp,stage3,078,1.0374,180
tbp,stage3,079,2.0118,180
tbp,stage3,080,1.2344,180
tbp,stage3,081,1.0408,180
tbp,stage3,082,2.4673,180
tbp,stage3,083,1.1198,180
tbp,stage3,084,0.8802,180
tbp,stage3,086,0.7028,180
tbp,stage3,087,0.9764,180
tbp,stage3,088,1.3235,180
tbp,stage3,089,0.9163,180
tbp,stage3,090,1.3302,180
tbp,stage3,091,1.4468,180
tbp,stage3,092,2.1225,180
tbp,stage3,093,1.3316,180
tbp,stage3,094,1.1155,180
tbp,stage3,095,0.9235,180
tbp,stage3,096,1.2227,180
tbp,stage3,097,1.036,180
egr1,stage2,001,0.9702,85
egr1,stage2,002,1.2216,85
egr1,stage2,003,7.4602,85
egr1,stage2,004,4.5591,85
egr1,stage2,005,1.9301,85
egr1,stage2,006,1.3367,85
egr1,stage2,007,1.7579,85
egr1,stage2,008,0.962,85
egr1,stage2,009,1.1236,85
egr1,stage2,010,1.0801,85
egr1,stage2,011,1.2607,85
egr1,stage2,012,1.7351,85
egr1,stage2,013,2.0341,85
egr1,stage2,014,1.2284,85
egr1,stage2,015,2.5764,85
egr1,stage2,016,1.5613,85
egr1,stage2,017,1.3052,85
egr1,stage2,018,1.1354,85
egr1,stage2,019,1.457,85
egr1,stage2,020,0.8272,85
egr1,stage2,021,1.4796,85
egr1,stage2,022,1.1779,85
egr1,stage2,023,1.7744,85
egr1,stage2,024,1.0339,85
egr1,stage2,025,1.3068,85
egr1,stage2,026,1.6665,85
egr1,stage2,027,3.0506,85
egr1,stage2,028,1.501,85
egr1,stage2,029,1.3964,85
egr1,stage2,030,1.7035,85
egr1,stage2,031,1.5581,85
egr1,stage2,032,1.034,85
egr1,stage2,033,2.3457,85
egr1,stage2,034,1.8549,85
egr1,stage2,035,7.2371,85
egr1,stage2,036,1.4143,85
egr1,stage2,037,1.1551,85
egr1,stage2,038,1.279,85
egr1,stage2,039,1.3874,85
egr1,stage2,040,2.5672,85
egr1,stage2,041,1.7635,85
egr1,stage2,042,1.1791,85
egr1,stage2,043,1.3662,85
egr1,stage2,044,1.9048,85
egr1,stage2,045,3.3887,85
egr1,stage2,046,1.0448,85
egr1,stage2,047,1.3287,85
egr1,stage2,048,2.2482,85
egr1,stage2,049,2.5753,85
egr1,stage2,050,1.3716,85
egr1,stage2,051,1.3801,85
egr1,stage2,052,1.7744,85
egr1,stage2,053,1.6592,85
egr1,stage2,054,0.8895,85
