pilot,entry,base_pearsonr,aug_pearsonr,base_spearmanr,aug_spearmanr,base_auroc,aug_auroc,base_ic_weighted_pcc,aug_ic_weighted_pcc,base_mae,aug_mae
csl,1a1g_A_MA0162.1.jaspar.npz,0.574255082922294,0.5689652815985028,0.49504966002918227,0.4562452568802284,0.8415316358024691,0.7310956790123457,0.5479345545487025,0.5109618460258285,0.6315797368685404,0.673141211271286
csl,1a1i_A_MA0162.1.jaspar.npz,0.6346636837455056,0.5985008345645232,0.5380258226703755,0.46017781608845093,0.8086734693877552,0.7551020408163266,0.5801880920656703,0.5341114932612341,0.6079915861288706,0.6452018320560455
csl,1a1j_A_MA0162.1.jaspar.npz,0.5861869430344085,0.5625291647137298,0.505638266532722,0.4362901042919156,0.8206983024691358,0.7365933641975309,0.532880300317834,0.5069966554844307,0.657507081826528,0.6945809523264567
csl,1c7u_A_MEF2A_HUMAN.H11MO.0.A.npz,0.17983356106075613,0.28054725073080694,0.14583333333333334,0.22083333333333333,0.601851851851852,0.6313443072702333,0.08241699333684867,0.2214724040686797,1.0646437307198842,0.949002593755722
csl,1c7u_B_MEF2A_HUMAN.H11MO.0.A.npz,0.17983357979190054,0.2805472425970948,0.14583333333333334,0.22083333333333333,0.601851851851852,0.6313443072702333,0.08241701419360507,0.2214723969084377,1.0646437108516693,0.9490026036898295
csl,1e3o_C_MA0785.1.jaspar.npz,0.710646655569629,0.5882135741451445,0.4533333333333333,0.41,0.9722222222222222,0.9000771604938271,0.5658206897986493,0.4455960633065554,0.4604908476273219,0.6551489929358164
csl,1gu4_A_MA0466.3.jaspar.npz,0.5079794426658029,0.3312598021746251,0.39409005689675364,0.258410440317777,0.798611111111111,0.748263888888889,0.4505209126066465,0.3264029049123517,0.7201779087384542,0.8741112053394318
csl,1gu5_A_MA0466.3.jaspar.npz,0.3723702034009572,0.25073459384859437,0.246811982874268,0.11360962988757228,0.726345486111111,0.6918402777777777,0.3083536228810087,0.2667693595141795,0.8879256347815195,0.9891815880934397
csl,1hjb_F_RUNX1_MOUSE.H11MO.0.A.npz,0.6976008890045772,0.6179694486684942,0.5631942839162941,0.5254560471130975,0.9144791666666667,0.8705208333333333,0.6189544324485995,0.5331976723974257,0.48326967656612396,0.5923339873552322
csl,1le8_B_MA0328.2.jaspar.npz,0.6512921655694299,0.6082428825161514,0.5474211272126432,0.4257411139040475,0.8141358024691357,0.7993209876543211,0.432753612211433,0.46619108411272886,0.7282605866591135,0.7682265639305115
csl,1n6j_A_MA0660.1.jaspar.npz,0.7505009588766067,0.694540785238496,0.6674894619642568,0.6487053573526781,0.9596354166666666,0.9012586805555555,0.6883744558698143,0.6630587068997243,0.4921349734067917,0.5771854619185129
csl,1n6j_B_MEF2B_HUMAN.H11MO.0.A.npz,0.609158183603237,0.5822985869905096,0.5954531454039289,0.6016921728876832,0.7768644494834972,0.7556374401612498,0.4052027463919556,0.40281750838089564,0.6700994074344635,0.6833775738875071
csl,1pzu_H_NFAC2_HUMAN.H11MO.0.B.npz,0.7424408296291302,0.6841807953638233,0.5130889462961536,0.5188970173517907,0.9756944444444445,0.9574652777777777,0.7304752999338326,0.5665380443201696,0.4929896245400111,0.6236645877361298
csl,1pzu_L_MA0152.1.jaspar.npz,0.9175921924179419,0.8131568391044212,0.6242354838807304,0.5730411536914343,0.9965277777777777,0.9479166666666666,0.7724226359176476,0.6322894072995826,0.286515640715758,0.4608476981520653
csl,1r0n_A_MA0115.1.jaspar.npz,0.5082587031105908,0.39763283955815293,0.4613126332533742,0.40377973614938045,0.8094135802469135,0.7739197530864197,0.5246857852063213,0.39212584186332294,0.8148208558559418,0.9600163598855337
csl,1ram_A_TF65_MOUSE.H11MO.0.A.npz,0.4679693288247411,0.45616832607447577,0.4183333333333333,0.4083333333333334,0.8683333333333335,0.7966666666666667,0.2931940652940757,0.2301604077753171,0.8763506611188253,0.9248023728529612
csl,1ram_B_TF65_MOUSE.H11MO.0.A.npz,0.4679693302100835,0.45616832203098356,0.4183333333333333,0.4083333333333334,0.8683333333333335,0.7966666666666667,0.2931940703095814,0.23016039907826333,0.8763506611188253,0.9248023728529612
csl,1srs_A_SRF_HUMAN.H11MO.0.A.npz,0.6202066038438881,0.5996246816005375,0.5723217972482919,0.5195373694606685,0.8358179012345679,0.822932098765432,0.5066056382538028,0.45346572623960246,0.6120783736308416,0.6526318738857905
csl,1srs_B_SRF_HUMAN.H11MO.0.A.npz,0.6202066115907986,0.599624686195415,0.5723217972482919,0.5195373694606685,0.8358179012345679,0.822932098765432,0.5066056294281672,0.45346572953610487,0.6120783934990565,0.6526318937540054
csl,1vkx_A_TF65_MOUSE.H11MO.0.A.npz,0.6358676835293106,0.6479692342467994,0.47666666666666674,0.49333333333333335,0.8877777777777779,0.8811111111111112,0.5806161934342248,0.5427070745888258,0.5786169419685999,0.5944838970899582
csl,1vkx_B_NFKB1_MOUSE.H11MO.0.A.npz,0.6206813996977871,0.6341337965403606,0.4641239636645255,0.4805201675642448,0.8877777777777779,0.8811111111111112,0.5226876041244547,0.46090885972692686,0.6296078761418661,0.6263218919436137
csl,2ady_A_MA0106.3.jaspar.npz,0.7063111290510279,0.6688141665499036,0.5933333333333334,0.4716666666666667,0.9156903502141599,0.9050138573948098,0.49487437463958567,0.4811209314199478,0.5147016247113546,0.5633467535177866
csl,2e42_A_CEBPB_HUMAN.H11MO.0.A.npz,0.4767289798906087,0.29492167557239585,0.41273188596705035,0.2227380565723901,0.8532744984567903,0.8041811342592592,0.5386011446738853,0.48543919587331213,0.7276216049989065,0.8006357451279958
csl,2erg_A_MA0324.1.jaspar.npz,0.6407488161125608,0.5346017093511667,0.5522133579653667,0.48647136595052415,0.8553162005542959,0.796453766691862,0.631488605832375,0.567857064414328,0.6540964543819427,0.7294831077257792
csl,2erg_B_MA0324.1.jaspar.npz,0.6407488036688239,0.5346017136985514,0.5522133579653667,0.48647136595052415,0.8553162005542959,0.796453766691862,0.6314885915417129,0.567857066908893,0.6540964345137278,0.7294831077257792
csl,2etw_A_MA0343.1.jaspar.npz,0.8186996471399821,0.7623957270040624,0.564144593211655,0.5395696621617526,0.8831018518518517,0.8630401234567903,0.6298137122328734,0.5908227059256353,0.4751519362131755,0.49977076550324756
csl,2euz_A_MA0343.1.jaspar.npz,0.6680823530526444,0.6800041298554181,0.4957236081708761,0.5109270487775075,0.853298611111111,0.8721064814814814,0.4989589387520443,0.5074213236724746,0.5963873366514841,0.5879150976737341
csl,2evf_A_MA0343.1.jaspar.npz,0.7456006402382628,0.695206273838994,0.5634282358403491,0.5358831587125246,0.9197530864197532,0.90258487654321,0.5649725480419426,0.5163448218949386,0.5144485831260681,0.5470546235640844
csl,2evi_A_MA0343.1.jaspar.npz,0.7466922881877206,0.7399201346001064,0.5550047482513667,0.5270088998452968,0.9069251543209876,0.8940007716049383,0.5644060762855276,0.5519870619110144,0.5600235561529795,0.5453418840964636
csl,2evj_A_MA0343.1.jaspar.npz,0.8351853330871867,0.7985930286777148,0.5804641179201746,0.5691459086970169,0.9583333333333334,0.9583333333333334,0.6518526567470148,0.6121982700835747,0.43432431916395825,0.4644193947315216
csl,2i9t_A_TF65_MOUSE.H11MO.0.A.npz,0.8113159100539633,0.7938919915492685,0.5366666666666667,0.5416666666666666,0.9688888888888889,0.9494444444444445,0.6124001489168823,0.6050440675237215,0.44595661759376526,0.5057864834864935
csl,2i9t_B_NFKB1_MOUSE.H11MO.0.A.npz,0.8067822731328004,0.7900170918290921,0.4923902748375428,0.5034258617146659,0.9688888888888889,0.9494444444444445,0.5451954112561158,0.48038732983592675,0.48946282764275867,0.5405810922384262
csl,2lt7_A_MA0527.1.jaspar.npz,0.49877469443682854,0.5927526941768954,0.44758063516585556,0.4364567199036804,0.8291666666666666,0.8720833333333333,0.38847910653145173,0.4307169881863017,0.8120899697144827,0.7097190767526627
csl,2wbu_A_KLF4_MOUSE.H11MO.0.A.npz,0.6857355153091097,0.6545047925998612,0.4645833333333333,0.34791666666666665,0.9097222222222223,0.8487654320987654,0.5109761392062796,0.46897531156174604,0.5166119684775671,0.5723203668991724
csl,2wty_A_MA0117.2.jaspar.npz,0.5910585423980868,0.48838622714516305,0.47680416426101985,0.3668288778485253,0.8920953798185941,0.7997271825396827,0.5081241271904281,0.45762557818681926,0.6351432204246521,0.7726043363412222
csl,2wty_B_MA0117.2.jaspar.npz,0.5910585340338222,0.48838623217792093,0.47680416426101985,0.3668288778485253,0.8920953798185941,0.7997271825396827,0.508124110054011,0.4576255892288683,0.6351432402928671,0.7726042966047922
csl,3coa_C_FOXO1_HUMAN.H11MO.0.A.npz,0.7064565421349558,0.7690394636934972,0.4238095238095238,0.4830309127290653,0.9151388888888888,0.9437500000000001,0.4949137419865513,0.5758750766009495,0.5648266573747,0.48536399006843567
csl,3gut_D_MA0105.4.jaspar.npz,0.3883281130886947,0.36405254512492596,0.2878787878787878,0.31363636363636366,0.7203896604938272,0.7507233796296297,0.35350783746347564,0.27175852152490654,0.9482461412747701,0.9723952313264211
csl,3gut_E_MA0107.1.jaspar.npz,0.6901246519022001,0.689597331192393,0.5474371313921342,0.5703617073009511,0.93,0.9272222222222224,0.7017355680273818,0.6867394519790763,0.493998646736145,0.5199681123097738
csl,3gut_H_MA0105.4.jaspar.npz,0.4439196916196537,0.4400836784708108,0.3621212121212121,0.3863636363636364,0.7236207561728395,0.7630208333333334,0.3901501779947408,0.3292287054377809,0.9162330528100332,0.9157851735750834
csl,3iag_C_SUH_MOUSE.H11MO.0.A.npz,0.7481603119958891,0.8178471212643975,0.4479166666666667,0.5854166666666666,0.9574652777777777,0.9713541666666666,0.6133426526965094,0.5964670578084007,0.37761182089646655,0.3084236780802409
