tf,stage,variant,comparison,atom_subset,n_states,median_A,q25_A,q75_A,iqr_A,min_A,max_A
csl,0,shared,vs_reference,backbone,92,2.5480465464886937,2.224134416476114,2.887660661188979,0.6635262447128651,1.5664994575555373,4.711596797100814
csl,0,shared,vs_reference,sidechain,92,2.791464132704507,2.46941263349615,3.115334870232097,0.645922236735947,1.9123914600013405,4.895878748300354
csl,0,shared,vs_reference,total,92,2.590269581702101,2.2772634282146154,2.925718327711962,0.6484548994973465,1.6378707920966893,4.747308445726946
csl,1,shared,delta_stage0_to_stage1,backbone,92,9.926610440169663e-07,7.050510670374531e-07,1.2476532169486138e-06,5.426021499111607e-07,3.3134520994769646e-07,1.8609799284126466e-06
csl,1,shared,delta_stage0_to_stage1,sidechain,92,0.01299504894460087,0.012855930551018108,0.013190508738998089,0.00033457818797998085,0.012181164633789628,0.013520292110396554
csl,1,shared,delta_stage0_to_stage1,total,92,0.005664540822821862,0.005597650506076547,0.005754478785810716,0.00015682827973416934,0.005311900661305046,0.0058830050054475575
csl,1,shared,vs_reference,backbone,92,2.5480465464886937,2.224134416476114,2.887660661188979,0.6635262447128651,1.5664994575555373,4.711596797100814
csl,1,shared,vs_reference,sidechain,92,3.5718262480405265,3.325818915614311,3.862272961192529,0.5364540455782181,2.7836181320593574,5.240151791700788
csl,1,shared,vs_reference,total,92,3.1114321429016956,2.844303901266258,3.4007773370870993,0.5564734358208412,2.309051334528122,4.981412146595648
csl,2,shared,delta_stage1_to_stage2,backbone,92,2.1037390782826777e-06,1.7870572140839137e-06,2.3330180431788216e-06,5.45960829094908e-07,1.2309885425270454e-06,3.060850605574862e-06
csl,2,shared,delta_stage1_to_stage2,sidechain,92,2.158234710765377e-06,1.8976674935443917e-06,2.479657761925012e-06,5.819902683806201e-07,1.3188342605918236e-06,3.3565577977217406e-06
csl,2,shared,delta_stage1_to_stage2,total,92,2.0061085439431724e-06,1.7606471781959197e-06,2.2047439751070046e-06,4.440967969110849e-07,1.1663549527214942e-06,2.8593699215077155e-06
csl,2,shared,vs_reference,backbone,92,2.5480464427689893,2.2241339335704975,2.8876596923508715,0.663525758780374,1.5664993182892522,4.711596245544467
csl,2,shared,vs_reference,sidechain,92,3.571825860855595,3.3258187517582467,3.8622728648150297,0.536454113056783,2.7836178147038066,5.240151286611974
csl,2,shared,vs_reference,total,92,3.111431882269037,2.844303401147218,3.400777065670617,0.556473664523399,2.3090512236434364,4.981411871493274
csl,3,metal_cage,delta_stage2_to_stage3,backbone,84,0.24458253088013368,0.23395328398293927,0.256196853487446,0.022243569504506705,0.22044085084830256,0.29684149681805905
csl,3,metal_cage,delta_stage2_to_stage3,sidechain,84,0.7169243398873528,0.6647505410491796,0.7622215668722456,0.097471025823066,0.532385921069913,0.9981482558879069
csl,3,metal_cage,delta_stage2_to_stage3,total,84,0.5345171328236638,0.49754207244902515,0.5663336229194565,0.0687915504704314,0.4107431855216203,0.7268034031934354
csl,3,metal_cage,vs_reference,backbone,84,2.505701582498026,2.198591899937305,2.8467286344960465,0.6481367345587414,1.5628465946203312,4.705189711993985
csl,3,metal_cage,vs_reference,sidechain,84,3.507099251493581,3.301324613623296,3.826655676365808,0.5253310627425121,2.7682284621629965,5.228888388962157
csl,3,metal_cage,vs_reference,total,84,3.080698614892525,2.824870082527343,3.3739619011121267,0.5490918185847837,2.2908917100027297,4.97258987801965
dux4,0,shared,vs_reference,backbone,94,15.772089484306916,14.717987898545475,16.77939073136083,2.0614028328153555,10.442546533079911,20.423735517937875
dux4,0,shared,vs_reference,interface,94,13.496545141787148,12.710431810752363,14.38269340076885,1.6722615900164879,9.356115433759754,19.241122940018357
dux4,0,shared,vs_reference,sidechain,94,15.75404882050129,14.677334182576887,16.749291570781395,2.071957388204508,10.456225356326899,20.460683413179453
dux4,0,shared,vs_reference,total,94,15.769438830669092,14.714937630228775,16.773017695341593,2.0580800651128186,10.445879691113099,20.432053692794987
dux4,1,shared,delta_stage0_to_stage1,backbone,94,7.682805718481301e-07,6.071246549394211e-07,1.0123410956913056e-06,4.0521644075188455e-07,3.056683508987684e-07,1.566023356354261e-06
dux4,1,shared,delta_stage0_to_stage1,interface,94,0.005712296573534719,0.0054386414448553124,0.005969739379071484,0.0005310979342161718,0.004770977568805146,0.006591443433952736
dux4,1,shared,delta_stage0_to_stage1,sidechain,94,0.012806585295166737,0.012517159411048738,0.013102154399223508,0.0005849949881747696,0.011488468727331143,0.014059810990485738
dux4,1,shared,delta_stage0_to_stage1,total,94,0.005632736032686368,0.005501639693255452,0.005768074882491644,0.0002664351892361916,0.0051063079409092264,0.006179983749805287
dux4,1,shared,vs_reference,backbone,94,15.772089484306916,14.717987898545475,16.77939073136083,2.0614028328153555,10.442546533079911,20.423735517937875
dux4,1,shared,vs_reference,interface,94,13.845172208470855,13.232716225403918,14.84153996042358,1.6088237350196621,9.791670886254332,19.696278645313363
dux4,1,shared,vs_reference,sidechain,94,15.879193721308958,14.842066520841977,16.788560338943306,1.9464938181013292,10.6753646544644,20.400711565432374
dux4,1,shared,vs_reference,total,94,15.82185128486546,14.795314777042295,16.796041837952675,2.00072706091038,10.57254654222212,20.425304909677706
dux4,2,shared,delta_stage1_to_stage2,backbone,94,1.807469074976841e-06,1.5734233889191574e-06,2.2746580735759467e-06,7.012346846567893e-07,1.058413692057814e-06,3.1935721805717838e-06
dux4,2,shared,delta_stage1_to_stage2,interface,94,1.6143664576876221e-06,1.3125934616837875e-06,1.8104959871019178e-06,4.979025254181303e-07,9.913626458026629e-07,2.953415353925894e-06
dux4,2,shared,delta_stage1_to_stage2,sidechain,94,2.008629630008703e-06,1.6669390432325607e-06,2.2679065765068874e-06,6.009675332743268e-07,1.155489009426825e-06,3.0411149194430647e-06
dux4,2,shared,delta_stage1_to_stage2,total,94,1.8501640968151302e-06,1.5245262131239144e-06,2.2640521875511833e-06,7.395259744272689e-07,1.1242260995343203e-06,3.0870396754482577e-06
dux4,2,shared,vs_reference,backbone,94,15.772089046942028,14.717986938910103,16.77939059245263,2.0614036535425253,10.442546079483417,20.423735832900718
dux4,2,shared,vs_reference,interface,94,13.845171508921549,13.232715585261857,14.841539186281404,1.6088236010195462,9.791670572127414,19.696277521578537
dux4,2,shared,vs_reference,sidechain,94,15.87919314549594,14.84206586012726,16.788559698715442,1.9464938385881823,10.675364426988667,20.400710315066128
dux4,2,shared,vs_reference,total,94,15.821850413699174,14.795314127399676,16.796040862249647,2.0007267348499713,10.572546081737782,20.425302857908605
dux4,3,metal_cage,delta_stage2_to_stage3,backbone,92,0.518034089461825,0.48196156627280673,0.5854112758484541,0.10344970957564736,0.2840351393784798,0.8250892045893083
dux4,3,metal_cage,delta_stage2_to_stage3,interface,92,1.4213041685201226,1.2758639735189834,1.5659331593622516,0.29006918584326824,0.77056669675082,1.9522249309792343
dux4,3,metal_cage,delta_stage2_to_stage3,sidechain,92,1.4330082936749402,1.2865586699393712,1.5764003834164906,0.2898417134771194,0.6671171602654029,2.052045164742064
dux4,3,metal_cage,delta_stage2_to_stage3,total,92,1.1244285118453101,0.9990413724826868,1.2001904554884018,0.201149083005715,0.591446809919262,1.5625702393166132
dux4,3,metal_cage,vs_reference,backbone,92,15.866560438001873,14.866858532218544,16.842819059172232,1.9759605269536884,10.456858132218583,20.448878379955808
dux4,3,metal_cage,vs_reference,interface,92,13.936334128751827,13.260555889160145,14.989413585973983,1.7288576968138383,9.97621172651414,19.599876450056325
dux4,3,metal_cage,vs_reference,sidechain,92,16.024454476582058,15.129651663771368,16.848201060123266,1.7185493963518983,10.8435512901736,20.42655217347827
